,Ratio de Sharpe,beta
Anticor,-4.963825960794658,0.9999999999999998
BAH,-4.97477189619677,1.0101025254327884
BCRP,1.847303767621008,1.2108283966251192
BestMarkowitz,2.641105289455689,1.085996287849101
BestSoFar,-5.885292268402674,0.9671019006553865
BNN,-5.791799199968971,1.207793541642162
CORN,-2.945989400446271,1.0719934992423752
CRP,-4.963825960794681,0.9999999999999991
CWMR,-4.973134751269123,1.1700163021957304
DynamicCRP,-4.963825960794658,0.9999999999999998
EG,-4.964344543456542,1.000509329838858
OLMAR,-6.454045495259476,1.3821789531995503
ONS,-4.656721433405234,0.7725583507579553
PAMR,-4.996070679473709,1.1728351685941754
RMR,-6.042825615715342,1.3933172067241675
