,Ratio de Sharpe,beta
Anticor,-0.9080541708670934,0.9999999999999997
BAH,-0.9632043165438765,0.9997282358812587
BCRP,3.4828674845957615,1.151985485523613
BestMarkowitz,3.6550548331885353,1.1757648626148025
BestSoFar,-1.647616838488179,2.0914044140187444
BNN,0.8401373609490029,1.4353520226909235
CORN,2.3396072334746862,1.4977973521164307
CRP,-0.9080541708670934,0.9999999999999997
CWMR,1.6462547396991227,1.2620495684211137
DynamicCRP,-0.9080541708670934,0.9999999999999997
EG,-0.909791975855306,1.0000453518045647
OLMAR,-2.090803482856336,0.9969623196873022
ONS,-0.43901666438685877,1.027709712653001
PAMR,1.6661089794867256,1.2574196765388501
RMR,-4.715677977528424,1.087618354500461
