,Ratio de Sharpe,beta
Anticor,4.714128501001893,1.000000000000001
BAH,4.612510028479336,0.9982809788843476
BCRP,8.062228709407668,0.9073075877579401
BestMarkowitz,8.062228633578533,0.907307622570543
BestSoFar,1.1174583637345399,0.5400211789629374
BNN,0.5727951462100277,1.5213695194737056
CORN,1.638375420769628,1.1590768220564496
CRP,4.714128501001888,1.0000000000000007
CWMR,5.8703646579633375,1.1800164954246013
DynamicCRP,4.714128501001893,1.000000000000001
EG,4.708985429328481,0.9999457105588828
OLMAR,4.957170023611578,1.1876959281177155
ONS,5.97365685544072,1.0386322690956356
PAMR,5.8998477902211315,1.1829543800961104
RMR,5.024985199263922,1.181385904698906
