,Ratio de Sharpe,beta
Anticor,-0.11460214199367057,1.0000000000000004
BAH,-0.11776581447510077,0.9633233597112354
BCRP,3.2485201333959264,1.315507045580133
BestMarkowitz,4.660530945724362,0.8779096811992264
BestSoFar,-0.5106120981719805,0.9629944967627687
BNN,-2.411656175901079,0.976869914906569
CORN,-2.433748653534601,0.8874279598639437
CRP,-0.11460214199367319,1.0000000000000004
CWMR,0.7073707749320962,2.8953212901165264
DynamicCRP,-0.11460214199367057,1.0000000000000004
EG,-0.11546510762924088,0.9981304683253115
OLMAR,-0.2519078598720716,3.056818161932362
ONS,0.1362639926623261,1.8600899359545744
PAMR,0.7190260539649376,2.895171022173755
RMR,-0.23941007505544443,3.0210835738077955
