,algo,close_volatility,close_range,vol_volatility,vol_range,market,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets,Volatility_Gold_Close,Volatility_Gold_Vol,Volatility_Oil_Close,Volatility_Oil_Vol,Volatility_Gas_Close,Volatility_Gas_Vol,Range_Gold_Close ,Range_Gold_Vol,Range_Oil_Close,Range_Oil_Vol,Range_Gas_Close,Range_Gas_Vol,Mean_FED,Mean_PMI,Mean_Unemploy,Volatility_VIX,Range_VIX
0,BestMarkowitz,0.017817417017082532,42.08046885768999,0.14890773242979272,1049941195.375,cryptos,0.0,0.0,0.004318008048777852,1.75363529608009,0.009785331921165753,0.16538678389823924,0.02320490248927001,0.15121694912140177,19.7000732421875,135,1.2399978637695312,9962,0.12199997901916504,76781,1.5500000000000003,51.300000000000004,3.6000000000000005,0.004318008048777852,19.7000732421875
1,?,0.040344595338549484,164.40550984986476,0.22750185392473524,2685076174.0,cryptos,0.0,1.0,0.003311840609543669,0.9169075074602959,0.019263161785138355,0.1689938718401481,0.031318335489370984,0.2047474346963767,16.7000732421875,127,3.0600013732910156,14153,0.15499997138977095,135653,1.5500000000000003,51.300000000000004,3.6000000000000005,0.003311840609543669,16.7000732421875
2,BCRP,0.029980623211272813,78.5014108340547,0.3112510559196008,4999697360.125,cryptos,0.0,1.0,0.0043939496500239915,4.642262956791502,0.01186297042421109,1.3404293879356957,0.041254144567956015,0.6082315164929933,12.199951171875,346348,1.8699951171875,35874,0.25,173820,1.5500000000000003,51.48571428571429,3.6000000000000005,0.0043939496500239915,12.199951171875
3,BCRP,0.012599493964594899,39.77187355401111,0.1509129508819341,1280787432.375,cryptos,0.0,0.0,0.0074196653588086605,0.504789868399122,0.020216173921507846,0.1903630130119634,0.0342454853100267,0.30906935750427367,19.0999755859375,1559,3.5699996948242188,10893,0.2089998722076416,143026,1.5500000000000003,52.60000000000001,3.6000000000000005,0.0074196653588086605,19.0999755859375
4,?,0.011306208754637026,35.470811210456304,0.09498620258012291,566568826.625,cryptos,0.0,1.0,0.0030880264595876347,0.9397501656519138,0.008446584378723832,0.0537148502106829,0.019299645851457367,0.1994099851735085,16.2999267578125,1362,1.6199951171875,3405,0.10899996757507324,159531,1.5500000000000003,52.60000000000001,3.6000000000000005,0.0030880264595876347,16.2999267578125
5,BCRP,0.05631596494644742,111.05542070808588,0.19337622069457108,2426740376.125,cryptos,0.0,1.0,0.003016058130023965,0.9416284511323209,0.005902190881862831,0.21554794815001707,0.024087910536396778,0.22837486280548036,9.9000244140625,311,1.2000045776367188,13493,0.12700009346008256,103936,1.5500000000000003,52.60000000000001,3.6000000000000005,0.003016058130023965,9.9000244140625
6,BCRP,0.015780275065920262,24.558880086406134,0.13048865476296959,1193698351.75,cryptos,0.0,1.0,0.004539600045220987,1.329992422685049,0.005210511697201664,0.39960807327895814,0.038019835788640044,0.809395577385137,32.0,787,2.0500030517578125,18680,0.13599991798400923,174141,1.5500000000000003,52.60000000000001,3.6000000000000005,0.004539600045220987,32.0
7,BCRP,0.029485912249779235,54.942324664240004,0.1887983679641336,1732100076.375,cryptos,0.0,0.0,0.006500576360205692,0.7203338938641113,0.02111731413105657,1.0619552428349919,0.013378945574344976,0.16371009907205397,51.699951171875,339,2.660003662109375,75929,0.06699991226196289,47684,1.5500000000000003,52.45714285714285,3.5285714285714285,0.006500576360205692,51.699951171875
8,BCRP,0.026074376831618378,54.609658831206616,0.1896122138501022,1593671213.125,cryptos,0.0,0.0,0.005241656427361061,1.5128274813085638,0.015664317552441596,0.4275069443802048,0.011523143070301861,0.20757697453892984,23.4000244140625,400,4.7100067138671875,49802,0.06699991226196333,127974,1.5500000000000003,52.39999999999999,3.5,0.005241656427361061,23.4000244140625
9,BestMarkowitz,0.056973348255171134,105.55705977152684,0.29455834513713275,4385756638.625,cryptos,0.0,4.0,0.004383989202407313,1.1715939995851274,0.006230263383545277,0.15653829111037684,0.022212561101440258,0.1650321739780375,16.4000244140625,97,0.8499984741210938,16320,0.29200005531311035,75436,1.5500000000000003,52.39999999999999,3.5,0.004383989202407313,16.4000244140625
10,?,0.0302877261033751,49.036168466933304,0.1343539368018791,1358789813.375,cryptos,0.0,3.0,0.002759804228071728,0.7124268649422449,0.011076631270885458,0.18664730780823977,0.009662388463741832,0.2590962665272033,21.5,30,5.269996643066406,15357,0.03299999237060569,183553,1.5500000000000003,52.39999999999999,3.5,0.002759804228071728,21.5
11,BestMarkowitz,0.033009268647814304,78.73080549901351,0.17969592524468905,1921236844.5,cryptos,0.0,2.0,0.0047358689190357605,5.445048593127168,0.011340926899693867,2.6282280585582476,0.018438493580087815,0.5267375720704484,14.300048828125,251271,1.6500015258789062,65760,0.11500000953674316,160401,1.5585714285714285,52.25714285714285,3.5,0.0047358689190357605,14.300048828125
12,BestMarkowitz,0.0328541160186715,123.76308272423921,0.1414874239494587,2000425572.75,cryptos,0.0,1.0,0.008460250028309118,1.3267141564472054,0.03348865985839351,0.11709510762444322,0.025681706265940477,0.15658502291741483,26.7999267578125,1195,4.930000305175781,30418,0.10599994659423828,173439,1.58,51.89999999999999,3.5,0.008460250028309118,26.7999267578125
13,BCRP,0.05414923554477436,67.73364468177897,0.164822361952793,3529623316.375,cryptos,0.0,2.0,0.005620332436051898,1.4483302583794218,0.010995048503380102,0.11889046117012181,0.030764614022441204,0.3137529644817578,34.4000244140625,404,4.479999542236328,12855,0.21499991416931175,148277,1.58,51.89999999999999,3.5,0.005620332436051898,34.4000244140625
14,BCRP,0.04557704514964939,71.19381638715276,0.13801725766964057,2948631155.875,cryptos,0.0,3.0,0.007786701012607202,0.8461797387710409,0.02054600149664744,0.17420346106511464,0.015612118610881756,0.30992391629076943,72.4000244140625,425,3.0100021362304688,19079,0.15399992465972923,247519,1.58,51.89999999999999,3.5,0.007786701012607202,72.4000244140625
15,?,0.04341749693072804,144.35612653757562,0.15711776019920115,3442196574.625,cryptos,0.0,3.0,0.021986067023022804,0.9751716055865767,0.01412648747790082,1.964556983819084,0.031207852195011297,0.42276758736857895,108.300048828125,1701,5.819999694824219,46137,0.1629999876022339,205572,1.4471428571428573,51.72857142857142,3.6285714285714286,0.021986067023022804,108.300048828125
16,BestMarkowitz,0.0634818547229873,134.11578556077438,0.12804901511781575,1898141864.25,cryptos,0.0,4.0,0.012429153341800175,0.9119499902690082,0.1119360537437475,0.24486925356906467,0.03068914943823473,0.2689269052064303,82.199951171875,527,17.5,36838,0.11900007724761963,153147,0.65,50.699999999999996,4.3999999999999995,0.012429153341800175,82.199951171875
17,?,0.21423105393479264,383.64922129518527,0.41786836797790533,7991463601.125,cryptos,0.0,3.0,0.01734153499688522,1.0998293053695358,0.07073639111634109,0.13551306529214222,0.04378527980188365,0.16892941482218055,188.5999755859375,209,7.170001983642578,32990,0.15799999237060525,183035,0.65,50.699999999999996,4.3999999999999995,0.01734153499688522,188.5999755859375
18,BCRP,0.07875330650251171,152.42626142936933,0.2463733068680126,3382062530.5,cryptos,0.0,6.0,0.028920733133123624,1.4988604665637038,0.09155265745041703,0.3168408647781379,0.038148723043931174,0.1677025831631378,89.699951171875,319,5.170000076293945,20224,0.21300005912780762,78270,0.65,50.699999999999996,4.3999999999999995,0.028920733133123624,89.699951171875
19,BCRP,0.037224536681492996,103.86193146172445,0.09254342145394523,3333051639.875,cryptos,0.0,2.0,0.02757542792947165,5.228231759294332,0.04004437859932675,0.3677311582546603,0.0191612060359243,0.5530302137369281,93.199951171875,100635,4.629999160766602,22530,0.08800005912780762,96026,0.65,50.699999999999996,4.3999999999999995,0.02757542792947165,93.199951171875
20,BestMarkowitz,0.015600522409909197,56.636088118262705,0.12962538627304795,3058510335.5,cryptos,0.0,1.0,0.019966623827177697,0.7575024704750319,0.11831430710553385,2.161063404430193,0.04143799672234168,0.1476119834114837,98.800048828125,15746,11.370000839233398,64801,0.17899990081787132,85656,0.22142857142857147,49.128571428571426,11.757142857142858,0.019966623827177697,98.800048828125
21,BCRP,0.0366030051913684,61.86513723843382,0.14496668802520313,3245981485.625,cryptos,68.0,0.0,0.017603394342478314,0.19795988251058924,0.027584816477734038,0.25614731937454993,0.03698732420527501,0.17002115572637017,80.0,448,1.5699996948242188,20116,0.12800002098083518,73965,0.049999999999999996,48.5,14.700000000000001,0.017603394342478314,80.0
22,BCRP,0.03975626787399037,81.99687034670205,0.18670133701103317,3332154116.5,cryptos,125.0,0.0,0.011245104247845574,0.6268269539307428,0.04563098301047706,0.1487258768605595,0.05291132021105909,0.24847763546038887,67.5,590,6.170000076293945,18369,0.32599997520446755,82889,0.049999999999999996,48.5,14.700000000000001,0.011245104247845574,67.5
23,BestMarkowitz,0.021101486739526974,103.7339921934472,0.1649307857142109,2230437106.5,cryptos,183.0,2.0,0.015162388640206184,0.9136560599948841,0.1248697156097778,0.3724515405683618,0.05289962971304324,0.30387780529875436,55.10009765625,560,6.239999771118168,57205,0.19299995899200417,216345,0.049999999999999996,48.5,14.700000000000001,0.015162388640206184,55.10009765625
24,BestMarkowitz,0.04722487620459676,152.333037358796,0.18927569026531865,5864964225.875,cryptos,175.0,2.0,0.00686113915412144,1.0435612167873694,0.04995435075269977,1.6367609155006762,0.03462770862097084,0.33606191150164433,27.7000732421875,1086,7.210000991821289,28713,0.1990000009536741,120835,0.049999999999999996,43.18571428571429,14.057142857142859,0.00686113915412144,27.7000732421875
25,BestMarkowitz,0.04581921302525771,153.37110335647594,0.14256798653057245,3681685225.75,cryptos,293.0,2.0,0.012212189292539914,1.158104725504718,0.06611764622353145,0.36470504047571234,0.053354268506819576,0.2651380959171869,37.60009765625,771,3.7699985504150355,18241,0.31100010871887207,119922,0.049999999999999996,36.1,13.200000000000001,0.012212189292539914,37.60009765625
26,BestMarkowitz,0.023131115004754184,144.58638618484838,0.09945251124272428,3513981342.5,cryptos,445.0,1.0,0.009066153578140916,0.6419532088401892,0.03803846564531719,0.12969709727461778,0.05614545205104441,0.18648358779658628,58.0999755859375,520,5.620000839233398,8566,0.2099999189376831,84971,0.049999999999999996,36.1,13.200000000000001,0.009066153578140916,58.0999755859375
27,BCRP,0.030479245823534465,119.6666287688713,0.12269265896085522,2954932324.625,cryptos,128.0,1.0,0.011754799369433576,2.8584652588292347,0.021732684517929906,0.10411205857360492,0.02953537643909954,0.27491423576509794,45.7999267578125,522,1.5199966430664062,6530,0.12000000476837114,196565,0.049999999999999996,36.1,13.200000000000001,0.011754799369433576,45.7999267578125
28,BCRP,0.039743785286903345,114.0599633321981,0.12103627600796879,1656240035.25,cryptos,106.0,1.0,0.005284138182183328,3.8985464757429633,0.018873348580475142,2.485375275787919,0.037349085538688494,0.521967115703751,33.0,137377,1.4299964904785156,28994,0.12699997425079346,176501,0.049999999999999996,36.1,13.200000000000001,0.005284138182183328,33.0
29,BCRP,0.027017872402585973,81.26686142591643,0.14759936709454297,3389234040.625,cryptos,91.0,2.0,0.015349706160532885,0.9487725708346991,0.05283158122125848,0.23216243744986953,0.014817157530023753,0.42786535734671904,61.60009765625,2168,6.979999542236328,11438,0.047999978065490945,92897,0.08,39.800000000000004,11.0,0.015349706160532885,61.60009765625
30,?,0.03519944887766164,71.04680238009314,0.14329730423832568,2451213795.0,cryptos,178.0,1.0,0.006525603338357984,0.35334913787393124,0.03763938243662365,0.23167999139503292,0.025351062308605274,0.20148246635771533,33.699951171875,530,3.1800003051757812,13316,0.14399993419647217,65516,0.08,39.800000000000004,11.0,0.006525603338357984,33.699951171875
31,BCRP,0.012996936817622453,32.39555945395841,0.12423616950607982,2288238922.5,cryptos,139.0,2.0,0.005448225061288959,1.513856124171111,0.013870944058815048,0.18353999936449072,0.01843770975509564,0.0780690451545572,36.39990234375,1334,3.3600006103515625,10654,0.05500006675720215,70461,0.08,39.800000000000004,11.0,0.005448225061288959,36.39990234375
32,?,0.017910183804808775,78.5748513849685,0.1569756272722943,1316552669.75,cryptos,158.0,1.0,0.004734223987885628,0.9122701261843053,0.027119262456486222,0.39228873962380273,0.06974254045196847,0.5868688297060421,18.10009765625,1149,2.770000457763672,22747,0.22699999809265137,230018,0.08,39.800000000000004,11.0,0.004734223987885628,18.10009765625
33,BCRP,0.018486029775354636,20.190965829271594,0.1390822712930263,882536924.125,cryptos,124.0,3.0,0.007221649041941214,0.539017051020114,0.02135980526976502,2.0182130690216225,0.03541105690730501,0.31742942683946634,19.800048828125,814,2.009998321533203,28281,0.15900003910064675,131025,0.08714285714285712,46.94285714285714,10.42857142857143,0.007221649041941214,19.800048828125
34,BestMarkowitz,0.05606309831544244,24.931383610819474,0.36042933397248667,1892831085.625,cryptos,119.0,2.0,0.006652521651906057,0.9609209398272124,0.014640095058534489,0.20870361154909559,0.025278544953421703,0.0688492367438883,27.0,587,0.9400024414062571,10142,0.13700008392333962,90633,0.08999999999999998,49.800000000000004,10.200000000000001,0.006652521651906057,27.0
35,BCRP,0.023426255471264257,15.271555335551962,0.20139919577608043,1269880689.125,cryptos,97.0,1.0,0.00434638899837366,1.091969174985824,0.010418207335067112,0.10918916969657687,0.024015464977952233,0.3224171637608251,17.2000732421875,315,1.0699996948242188,5577,0.1369999647140503,71766,0.08999999999999998,49.800000000000004,10.200000000000001,0.00434638899837366,17.2000732421875
36,BCRP,0.027300140680290276,102.94978939951397,0.18507506211963842,2000732549.375,cryptos,76.0,4.0,0.006689287762583869,0.6339880098033469,0.014605101041767302,0.20954565572428488,0.03298717739427306,0.2851044318051295,115.0999755859375,385,1.0400009155273366,7740,0.16699993610382124,128138,0.08999999999999998,49.800000000000004,10.200000000000001,0.006689287762583869,115.0999755859375
37,BestMarkowitz,0.04668179091451455,115.70606211334234,0.251248220267149,3217191133.125,cryptos,216.0,0.0,0.005701460671919577,2.9181670048264414,0.010822111289845882,2.1760041644028356,0.06428953940799514,0.8276599071924567,35.0,209471,0.8100013732910227,26364,0.36700010299682617,349444,0.09285714285714285,50.11428571428571,9.685714285714285,0.005701460671919577,35.0
38,BestMarkowitz,0.02337220950513265,74.91193975205533,0.30830171091482833,2084839105.5,cryptos,99.0,2.0,0.013840516851665395,1.1086080490238197,0.01512593442178421,0.1792386408851957,0.029931385237622076,0.25289179004446133,85.5,1777,1.9099998474121094,15665,0.13699984550476074,219976,0.09999999999999999,50.89999999999999,8.4,0.013840516851665395,85.5
39,BestMarkowitz,0.03659169872302831,68.87570701085497,0.2611749191119122,2340997426.0,cryptos,160.0,2.0,0.024156858722920328,1.2095521771658395,0.01278003639242222,0.21793761460525352,0.03204009843240529,0.2572319377952656,91.80004882812523,900,0.9300003051757812,6114,0.20399999618530273,85994,0.09999999999999999,50.89999999999999,8.4,0.024156858722920328,91.80004882812523
40,?,0.03292077223735705,88.95824059296865,0.16734086856634067,2474664996.875,cryptos,93.0,2.0,0.010088021819064279,0.9021245260607014,0.010653403890926328,0.1591159356734654,0.02637648063443418,0.19450584238541835,71.7000732421875,262,1.1100006103515696,7432,0.17400002479553178,45360,0.09999999999999999,50.89999999999999,8.4,0.010088021819064279,71.7000732421875
41,BestMarkowitz,0.04069936310946423,63.23270543065154,0.20930688793625685,1787580429.25,cryptos,135.0,2.0,0.012756632864682158,1.3236733272449794,0.009268617624780743,2.0259478424807282,0.024740564304038322,0.8689494763607951,55.79992675781227,2218,0.8100013732910156,23188,0.19600009918212846,172045,0.09999999999999999,50.89999999999999,8.4,0.012756632864682158,55.79992675781227
