	Date	User	Tweet
0	2021-09-22 18:27:27+00:00	Bloomberg	In a move that strengthens its commitment to creating a workplace culture that values difference, fosters inclusion and promotes collaboration, Bloomberg today announced Fatima Shama as the company’s new Head of Diversity &amp; Inclusion, Americas. https://t.co/7FPMmHjIC7
1	2021-09-14 14:48:52+00:00	Bloomberg	Our European headquarters in London was recently awarded an ‘Outstanding’ rating for its sustainable building management and operations under the BREEAM In-Use assessment. https://t.co/pClDFnhV3H
2	2021-09-11 13:00:07+00:00	Bloomberg	Today, we remember the lives lost on Sept. 11, 2001, including Bloomberg employees Peter Craig Alderman, William H. Kelly Jr., and Paul Ortiz Jr. #NeverForget https://t.co/CZkmFOzKOF
