Date	User	Tweet
2021-10-12 13:39:31+00:00	Bloomberg	Black, Asian, and other ethnic groups across the labor market are estimated to bring £24 billion in annual economic benefits to the UK economy. While we've seen progress, there's still work to be done to bridge the Black wealth gap. Learn more: https://t.co/sHPLb2qfX4 https://t.co/8eR2Ofubtr
2021-10-06 16:20:28+00:00	Bloomberg	At Bloomberg, we devote almost all of our profits to @BloombergDotOrg. See how we're working with partners around the world to transform lives through the power of data. https://t.co/x1xHNNyWcO https://t.co/lh1Z4W6nmk
