Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2022-01-03,36585.05859375,347930000,1.0,3,0,False,False,True,False
2022-01-04,36799.6484375,435080000,1.0,4,1,False,False,True,False
2022-01-05,36407.109375,462040000,1.0,5,2,False,False,False,False
2022-01-06,36236.46875,385890000,1.0,6,3,False,False,False,False
2022-01-07,36231.66015625,356110000,1.0,7,4,False,False,False,False
2022-01-10,36068.87109375,430680000,1.0,10,0,False,False,False,False
2022-01-11,36252.01953125,356850000,1.0,11,1,False,False,False,False
2022-01-12,36290.3203125,310180000,1.0,12,2,False,False,False,False
2022-01-13,36113.62109375,343640000,1.0,13,3,False,False,False,False
2022-01-14,35911.80859375,389200000,1.0,14,4,False,False,False,False
2022-01-18,35368.46875,427260000,1.0,18,1,False,False,False,False
2022-01-19,35028.6484375,393080000,1.0,19,2,False,False,False,False
2022-01-20,34715.390625,369070000,1.0,20,3,False,False,False,False
2022-01-21,34265.37109375,523880000,1.0,21,4,False,False,False,False
2022-01-24,34364.5,664010000,1.0,24,0,False,False,False,False
2022-01-25,34297.73046875,506430000,1.0,25,1,False,False,False,False
2022-01-26,34168.08984375,546330000,1.0,26,2,False,False,False,False
2022-01-27,34160.78125,527780000,1.0,27,3,False,False,False,False
2022-01-28,34725.46875,568440000,1.0,28,4,False,True,False,False
2022-01-31,35131.859375,468070000,1.0,31,0,False,True,False,False
2022-02-01,35405.23828125,386080000,1.0,1,1,False,False,True,False
2022-02-02,35629.328125,359540000,1.0,2,2,False,False,True,False
2022-02-03,35111.16015625,381020000,1.0,3,3,False,False,True,False
2022-02-04,35089.73828125,349880000,1.0,4,4,False,False,True,False
2022-02-07,35091.12890625,328910000,1.0,7,0,False,False,False,False
2022-02-08,35462.78125,319190000,1.0,8,1,False,False,False,False
2022-02-09,35768.05859375,333610000,1.0,9,2,False,False,False,False
2022-02-10,35241.58984375,411620000,1.0,10,3,False,False,False,False
2022-02-11,34738.05859375,398860000,1.0,11,4,False,False,False,False
2022-02-14,34566.171875,370320000,1.0,14,0,False,False,False,True
2022-02-15,34988.83984375,305670000,1.0,15,1,False,False,False,False
2022-02-16,34934.26953125,294410000,1.0,16,2,False,False,False,False
2022-02-17,34312.03125,348720000,1.0,17,3,False,False,False,False
2022-02-18,34079.1796875,414080000,1.0,18,4,False,False,False,False
2022-02-22,33596.609375,432090000,1.0,22,1,False,False,False,False
2022-02-23,33131.76171875,370600000,1.0,23,2,False,False,False,False
2022-02-24,33223.828125,590850000,1.0,24,3,False,False,False,False
2022-02-25,34058.75,417630000,1.0,25,4,False,False,False,False
2022-02-28,33892.6015625,443460000,1.0,28,0,False,True,False,False
2022-03-01,33294.94921875,438730000,1.0,1,1,False,False,True,False
2022-03-02,33891.3515625,400920000,1.0,2,2,False,False,True,False
2022-03-03,33794.66015625,369740000,1.0,3,3,False,False,True,False
2022-03-04,33614.80078125,408390000,1.0,4,4,False,False,True,False
2022-03-07,32817.37890625,488400000,1.0,7,0,False,False,False,False
2022-03-08,32632.640625,553750000,1.0,8,1,False,False,False,False
2022-03-09,33286.25,418670000,1.0,9,2,False,False,False,False
2022-03-10,33174.0703125,399480000,1.0,10,3,False,False,False,False
2022-03-11,32944.19140625,369480000,1.0,11,4,False,False,False,False
2022-03-14,32945.23828125,394940000,1.0,14,0,False,False,False,False
2022-03-15,33544.33984375,388810000,1.0,15,1,False,False,False,False
2022-03-16,34063.1015625,427400000,1.0,16,2,False,False,False,False
2022-03-17,34480.76171875,339470000,1.0,17,3,False,False,False,False
2022-03-18,34754.9296875,615420000,1.0,18,4,False,False,False,False
2022-03-21,34552.98828125,408490000,1.0,21,0,False,False,False,False
2022-03-22,34807.4609375,368550000,1.0,22,1,False,False,False,False
2022-03-23,34358.5,347880000,1.0,23,2,False,False,False,False
2022-03-24,34707.94140625,324870000,1.0,24,3,False,False,False,False
2022-03-25,34861.23828125,285440000,1.0,25,4,False,False,False,False
2022-03-28,34955.890625,299790000,1.0,28,0,False,True,False,False
2022-03-29,35294.19140625,355050000,1.0,29,1,False,True,False,False
2022-03-30,35228.80859375,317320000,1.0,30,2,False,True,False,False
2022-03-31,34678.3515625,433400000,1.0,31,3,False,True,False,False
2022-04-01,34818.26953125,340400000,1.0,1,4,False,False,True,False
2022-04-04,34921.87890625,316570000,1.0,4,0,False,False,True,False
2022-04-05,34641.1796875,304010000,1.0,5,1,False,False,False,False
2022-04-06,34496.51171875,386250000,1.0,6,2,False,False,False,False
2022-04-07,34583.5703125,319870000,1.0,7,3,False,False,False,False
2022-04-08,34721.12109375,301750000,1.0,8,4,False,False,False,False
2022-04-11,34308.078125,333290000,1.0,11,0,False,False,False,False
2022-04-12,34220.359375,333510000,1.0,12,1,False,False,False,False
2022-04-13,34564.58984375,313630000,1.0,13,2,False,False,False,False
2022-04-14,34451.23046875,353680000,1.0,14,3,False,False,False,False
2022-04-18,34411.69140625,264110000,1.0,18,0,False,False,False,False
2022-04-19,34911.19921875,296350000,1.0,19,1,False,False,False,False
2022-04-20,35160.7890625,337620000,1.0,20,2,False,False,False,False
2022-04-21,34792.76171875,366390000,1.0,21,3,False,False,False,False
2022-04-22,33811.3984375,373280000,1.0,22,4,False,False,False,False
2022-04-25,34049.4609375,416900000,1.0,25,0,False,False,False,False
2022-04-26,33240.1796875,400020000,1.0,26,1,False,False,False,False
2022-04-27,33301.9296875,447230000,1.0,27,2,False,False,False,False
2022-04-28,33916.390625,440380000,1.0,28,3,False,True,False,False
2022-04-29,32977.2109375,501560000,1.0,29,4,False,True,False,False
2022-05-02,33061.5,453390000,1.0,2,0,False,False,True,False
2022-05-03,33128.7890625,364420000,1.0,3,1,False,False,True,False
2022-05-04,34061.05859375,411060000,1.0,4,2,False,False,True,False
2022-05-05,32997.96875,448420000,1.0,5,3,False,False,False,False
2022-05-06,32899.37109375,416520000,1.0,6,4,False,False,False,False
2022-05-09,32245.69921875,470770000,1.0,9,0,False,False,False,False
2022-05-10,32160.740234375,439290000,1.0,10,1,False,False,False,False
2022-05-11,31834.109375,458460000,1.0,11,2,False,False,False,False
2022-05-12,31730.30078125,544240000,1.0,12,3,False,False,False,False
2022-05-13,32196.66015625,388520000,1.0,13,4,False,False,False,False
2022-05-16,32223.419921875,330030000,1.0,16,0,False,False,False,False
2022-05-17,32654.58984375,389310000,1.0,17,1,False,False,False,False
2022-05-18,31490.0703125,465060000,1.0,18,2,False,False,False,False
2022-05-19,31253.130859375,517190000,1.0,19,3,False,False,False,False
2022-05-20,31261.900390625,495510000,1.0,20,4,False,False,False,False
2022-05-23,31880.240234375,402010000,1.0,23,0,False,False,False,False
2022-05-24,31928.619140625,382950000,1.0,24,1,False,False,False,False
2022-05-25,32120.279296875,343460000,1.0,25,2,False,False,False,False
2022-05-26,32637.189453125,351220000,1.0,26,3,False,False,False,False
2022-05-27,33212.9609375,328770000,1.0,27,4,False,False,False,False
2022-05-31,32990.12109375,533560000,1.0,31,1,False,True,False,False
2022-06-01,32813.23046875,338210000,1.0,1,2,False,False,True,False
2022-06-02,33248.28125,333210000,1.0,2,3,False,False,True,False
2022-06-03,32899.69921875,298570000,1.0,3,4,False,False,True,False
2022-06-06,32915.78125,253010000,1.0,6,0,False,False,False,False
2022-06-07,33180.140625,270750000,1.0,7,1,False,False,False,False
2022-06-08,32910.8984375,270470000,1.0,8,2,False,False,False,False
2022-06-09,32272.7890625,289710000,1.0,9,3,False,False,False,False
2022-06-10,31392.7890625,362300000,1.0,10,4,False,False,False,False
2022-06-13,30516.740234375,472290000,1.0,13,0,False,False,False,False
2022-06-14,30364.830078125,366800000,1.0,14,1,False,False,False,False
2022-06-15,30668.529296875,392670000,1.0,15,2,False,False,False,False
2022-06-16,29927.0703125,442910000,1.0,16,3,False,False,False,False
2022-06-17,29888.779296875,692830000,1.0,17,4,False,False,False,False
2022-06-21,30530.25,376900000,1.0,21,1,False,False,False,False
2022-06-22,30483.130859375,343490000,1.0,22,2,False,False,False,False
2022-06-23,30677.359375,361420000,1.0,23,3,False,False,False,False
2022-06-24,31500.6796875,465480000,1.0,24,4,False,False,False,False
2022-06-27,31438.259765625,309910000,1.0,27,0,False,False,False,False
2022-06-28,30946.990234375,350780000,1.0,28,1,False,True,False,False
2022-06-29,31029.310546875,269390000,1.0,29,2,False,True,False,False
2022-06-30,30775.4296875,394070000,1.0,30,3,False,True,False,False
2022-07-01,31097.259765625,310440000,1.0,1,4,False,False,True,False
2022-07-05,30967.8203125,323080000,1.0,5,1,False,False,False,False
2022-07-06,31037.6796875,289800000,1.0,6,2,False,False,False,False
2022-07-07,31384.55078125,296620000,1.0,7,3,False,False,False,False
2022-07-08,31338.150390625,238120000,1.0,8,4,False,False,False,False
