Date,BTC-USD_Close,ETH-USD_Close,TRX-USD_Close,BNB-USD_Close,XRP-USD_Close,DOGE-USD_Close,ADA-USD_Close,SOL-USD_Close,SHIB-USD_Close,LTC-USD_Close
2022-01-31,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-01,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-02,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-03,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-04,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-05,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-06,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-07,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-08,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-09,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-10,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-11,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-12,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-13,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-14,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-15,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-16,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-17,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-18,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-19,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-20,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-21,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-22,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-23,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-24,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
2022-02-25,-6.1561788383385E-20,4.81611728322367E-19,9.68509454357164E-10,3.14858144764017E-11,5.84543558989716E-16,2.88447036615042E-15,5.33255246552535E-16,2.74343306574611E-18,7.21056582561779E-16,4.67719674510943E-18
