,Ratio de Sharpe,beta
Anticor,0.959878181435863,0.9999999999999998
BAH,0.8395671272798104,1.0001438766904462
BCRP,1.3840477822007118,1.0372656743082433
BestMarkowitz,1.463042538345523,0.8810254248171052
BestSoFar,-1.1689968746339003,1.0382323617437201
BNN,0.9364136961770382,1.1019882661093012
CORN,-1.7096511124484086,0.9219420435049435
CRP,0.959878181435863,0.9999999999999998
CWMR,1.6674806109295732,1.1026287240021266
DynamicCRP,0.959878181435863,0.9999999999999998
EG,0.9536364696717796,1.0000026281973977
OLMAR,0.48455091236358844,1.0146658526744048
ONS,1.8201816579519916,1.0023127071270481
PAMR,1.710526626762622,1.1076402279088524
RMR,-0.07249893459520731,1.0532257879768205
