,Ratio de Sharpe,beta
Anticor,-1.2433405789511183,1.0000000000000004
BAH,-1.3523639330902781,0.9938690227822721
BCRP,2.643453995107075,0.9355763786089716
BestMarkowitz,2.7252444884183373,0.9395300296702394
BestSoFar,1.922087248123895,0.8916253050948362
BNN,0.32260374072008513,1.3436276044016537
CORN,1.6305218057766944,1.023683290902073
CRP,-1.2433405789511183,1.0000000000000004
CWMR,2.399941253333018,1.2204586069546288
DynamicCRP,-1.2433405789511183,1.0000000000000004
EG,-1.247692790207572,0.999731061810363
OLMAR,-1.1425136648809775,1.1035550969807686
ONS,-1.3270148922943683,1.0117013924708715
PAMR,2.2883758149771247,1.2138951649132648
RMR,-0.9092993187804473,1.0702264871575697
