Date	Date
2018-11-13	8
2018-11-14	41
2018-11-15	58
2018-11-16	18
2018-11-17	10
2018-11-18	14
2018-11-19	21
2018-11-20	22
2018-11-21	21
2018-11-22	15
2018-11-23	10
2018-11-24	7
2018-11-25	7
2018-11-26	24
2018-11-27	159
2018-11-28	29
2018-11-29	41
2018-11-30	26
2018-12-01	12
2018-12-02	12
2018-12-03	13
2018-12-04	19
2018-12-05	15
2018-12-06	15
2018-12-07	15
2018-12-08	11
2018-12-09	11
2018-12-10	15
2018-12-11	14
2018-12-12	22
2018-12-13	24
2018-12-14	31
2018-12-15	11
2018-12-16	15
2018-12-17	21
2018-12-18	18
2018-12-19	21
2018-12-20	19
2018-12-21	16
2018-12-22	13
2018-12-23	11
2018-12-24	9
2018-12-25	4
2018-12-26	10
2018-12-27	17
2018-12-28	22
2018-12-29	10
2018-12-30	23
