,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets
0,BestMarkowitz,0.0501774738243822,727.4235906869235,0.3489909646958511,6858500780.7,cryptos,0.060390310184862704,3.6299991607666,17.01909520739601,370,8
1,?,0.05288508175646952,949.3577529097096,0.3184141590311253,5589550183.0,cryptos,0.07058445130307905,2.210475331261044,17.492143072400776,369,3
2,BestMarkowitz,0.04042300435899232,589.3614854514301,0.3242330417620812,4991603739.3,cryptos,0.23523035033919,10.11952459244501,20.990190460568382,248,1
