,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets
0,BCRP,0.02660762279120239,32.14137334823609,0.29817265437060747,10700260.0,nasdaq,0.08653621450096925,8.860000610351562,31.861000061035156,618,5
1,BestMarkowitz,0.025898484886852324,31.535371494293212,0.3942950112463787,11565542.5,nasdaq,0.049134360907591504,8.829999923706055,26.88300018310547,616,6
2,BestMarkowitz,0.018980034132262923,22.04040422439575,0.3271505528197104,8420047.5,nasdaq,0.06511093196866402,3.530000686645508,20.22299976348877,609,4
3,BestMarkowitz,0.01992359809185228,17.622229862213135,0.26974618690849966,5973105.0,nasdaq,0.07852759348384528,4.05000114440918,22.24000015258789,615,2
