,algo,close_volatility,close_range,vol_volatility,vol_range,market,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets,Volatility_Gold_Close,Volatility_Gold_Vol,Volatility_Oil_Close,Volatility_Oil_Vol,Volatility_Gas_Close,Volatility_Gas_Vol,Range_Gold_Close ,Range_Gold_Vol,Range_Oil_Close,Range_Oil_Vol,Range_Gas_Close,Range_Gas_Vol,Mean_FED,Mean_PMI,Mean_Unemploy,Volatility_VIX,Range_VIX
0,BCRP,0.03521966879560877,84.17128557119415,0.14431966274600636,1086038793.3333333,cryptos,80,1,0.0053405647084359435,3.874167435535901,0.018884741796499984,1.2982947310491288,0.03200443404131348,0.5132668514640184,32.0999755859375,137377,1.4299964904785156,28994,0.12699997425079346,176501,0.049999999999999996,36.1,13.200000000000001,0.0053405647084359435,32.0999755859375
1,BCRP,0.04108795338707808,80.63929533298749,0.20944337250996567,2586248215.3333335,cryptos,105,2,0.013247750876539103,0.8478914882944999,0.04625841721343988,0.23211098634066313,0.014770321652765112,0.4278552413760586,61.60009765625,2014,6.979999542236328,11438,0.047999978065490945,92897,0.07142857142857142,38.74285714285715,11.62857142857143,0.013247750876539103,61.60009765625
2,?,0.03978417135684035,63.18022160979712,0.19089216528154446,1706393401.6666667,cryptos,171,1,0.0056349810675484615,0.31668655959106473,0.034970413880267025,0.2314237037771139,0.022384922493704645,0.15396931495951155,33.699951171875,400,3.1800003051757812,13316,0.08200001716613747,65516,0.08,39.800000000000004,11.0,0.0056349810675484615,33.699951171875
3,BestMarkowitz,0.017949332910078566,29.470648236236432,0.24201326524764952,1625483013.1111112,cryptos,113,2,0.005423812347366099,1.5146997247866771,0.014273413848778891,0.11357117712878691,0.018396979144315113,0.08126699900735229,25.5999755859375,1307,2.4699974060058523,6009,0.05500006675720215,68050,0.08,39.800000000000004,11.0,0.005423812347366099,25.5999755859375
