Date,AAPL_Close,AAPL_Vol,TSLA_Close,TSLA_Vol,ADBE_Close,ADBE_Vol,ADI_Close,ADI_Vol,ADP_Close,ADP_Vol,ADSK_Close,ADSK_Vol,AEP_Close,AEP_Vol,ALGN_Close,ALGN_Vol,AMAT_Close,AMAT_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2017-12-01,40.78688049316406,159037200,61.305999755859375,21464500,179.52000427246094,3016200,78.2915267944336,3545000,102.99626922607422,2623300,107.05999755859375,4922900,66.32584381103516,2082100,254.07000732421875,1354900,48.94171142578125,16271800,1.0,1,4,False,False,True,False
2017-12-04,40.48882293701172,130169600,61.040000915527344,29175500,168.44000244140625,5931400,77.73228454589844,3723600,103.95603942871094,2913900,107.94999694824219,3986000,66.45465087890625,2558300,225.8000030517578,3879100,46.92408752441406,19956100,1.0,4,0,False,False,True,False
2017-12-05,40.45066833496094,109400800,60.7400016784668,23232500,167.5399932861328,4698700,77.76895141601562,2340800,104.74378967285156,2295500,106.58999633789062,3002500,65.49290466308594,2630400,227.36000061035156,2147900,47.216365814208984,21045700,1.0,5,1,False,False,False,False
2017-12-06,40.30044174194336,114240000,62.652000427246094,35976500,173.52000427246094,3773000,78.3006820678711,2805100,104.96110534667969,2092900,106.91999816894531,1686600,65.88793182373047,3733400,233.00999450683594,1216400,48.09318542480469,19296300,1.0,6,2,False,False,False,False
2017-12-07,40.374366760253906,102693200,62.24800109863281,23903000,174.61000061035156,2442000,78.94239807128906,3914200,105.49826049804688,2534000,109.61000061035156,3074200,65.78486633300781,2041300,241.3800048828125,1218000,49.309417724609375,14690100,1.0,7,3,False,False,False,False
2017-12-08,40.38629150390625,93420800,63.0260009765625,17342500,173.57000732421875,2101800,78.40150451660156,3411400,105.62571716308594,1013500,107.16000366210938,3124700,66.05965423583984,1459600,238.42999267578125,1004300,48.489166259765625,15131800,1.0,8,4,False,False,False,False
2017-12-11,41.17317199707031,141095200,65.78199768066406,39690000,174.30999755859375,2776700,78.6582260131836,2322700,107.26445007324219,1982500,106.83000183105469,2412300,66.18842315673828,1670600,233.66000366210938,1056900,48.66828918457031,9740800,1.0,11,0,False,False,False,False
2017-12-12,40.94186782836914,77636800,68.20600128173828,43666000,172.5399932861328,3924200,78.36485290527344,2248900,106.56344604492188,1324900,106.33000183105469,2026100,65.27824401855469,2105700,234.3699951171875,1010800,47.58405685424805,9547500,1.0,12,1,False,False,False,False
2017-12-13,41.077789306640625,95273600,67.80599975585938,31107500,176.8300018310547,4591700,78.08982849121094,2068000,106.5361099243164,1205700,106.0199966430664,1982900,65.69898223876953,2301700,235.6300048828125,739200,47.85747528076172,13858300,1.0,13,2,False,False,False,False
2017-12-14,41.06586837768555,81906000,67.5780029296875,28999500,175.0,4720900,78.32817840576172,2288000,106.02629852294922,1662200,106.25,1503900,65.51008605957031,1942800,233.8000030517578,979900,48.37602615356445,8940300,1.0,14,3,False,False,False,False
