,algo,close_volatility,close_range,vol_volatility,vol_range,market,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets,Volatility_Gold_Close,Volatility_Gold_Vol,Volatility_Oil_Close,Volatility_Oil_Vol,Volatility_Gas_Close,Volatility_Gas_Vol,Range_Gold_Close ,Range_Gold_Vol,Range_Oil_Close,Range_Oil_Vol,Range_Gas_Close,Range_Gas_Vol,Mean_FED,Mean_PMI,Mean_Unemploy,Volatility_VIX,Range_VIX
0,?,0.017817417017082532,42.08046885768999,0.14890773242979272,1049941195.375,cryptos,0.0,0.0,0.00435470858055297,1.4298732663996119,0.006948793514851908,0.1541172196926668,0.010934497774498224,0.14181429518464103,19.7000732421875,77,1.2399978637695312,9962,0.08800005912780762,76781,1.5500000000000003,51.300000000000004,3.6000000000000005,0.036182947606128654,1.0
1,?,0.040344595338549484,164.40550984986476,0.22750185392473524,2685076174.0,cryptos,0.0,1.0,0.0030401329732288413,0.9305814886383335,0.01929760361589832,0.10654725835026237,0.020175711130055375,0.2147203121460098,10.2000732421875,125,3.0600013732910156,10037,0.15499997138977095,121805,1.5500000000000003,51.300000000000004,3.6000000000000005,0.03347363438246233,0.7899999618530273
2,CRP_mom,0.029980623211272813,78.5014108340547,0.3112510559196008,4999697360.125,cryptos,0.0,1.0,0.004187396233333661,4.564535673050109,0.011887459493694557,0.6260731919116211,0.03853875539241979,0.5991562476314185,12.199951171875,346348,1.839996337890625,22029,0.25,173820,1.5500000000000003,51.48571428571429,3.6000000000000005,0.03345661919734666,1.0799999237060547
3,CRP_rev,0.012599493964594899,39.77187355401111,0.1509129508819341,1280787432.375,cryptos,0.0,0.0,0.0074181045648793464,0.43238392696702077,0.02008354372245722,0.14224893693971682,0.028871537431879823,0.2957439491932473,19.0999755859375,1559,3.5699996948242188,10440,0.1119999885559082,127773,1.5500000000000003,52.60000000000001,3.6000000000000005,0.05180669524653336,2.3400001525878906
4,CRP_rev,0.011306208754637026,35.470811210456304,0.09498620258012291,566568826.625,cryptos,0.0,1.0,0.003034334932745964,0.7738678440145744,0.008521614030813007,0.031792413320506856,0.018608278765605935,0.2032743309792537,16.2999267578125,1094,1.5,3405,0.09599995613098145,152155,1.5500000000000003,52.60000000000001,3.6000000000000005,0.04129262641441625,3.229999542236328
5,CRP_mom,0.05631596494644742,111.05542070808588,0.19337622069457108,2426740376.125,cryptos,0.0,1.0,0.0020944966949487252,0.8133119672453559,0.005960233547425218,0.09947494717377077,0.01336840886287135,0.21768760431587741,5.5999755859375,311,1.2000045776367188,5812,0.06800007820129395,78444,1.5500000000000003,52.60000000000001,3.6000000000000005,0.010824465808627582,0.43999958038330256
6,CRP_rev,0.015780275065920262,24.558880086406134,0.13048865476296959,1193698351.75,cryptos,0.0,1.0,0.004606109481869376,1.2923500132160444,0.005615995124679339,0.21814765674984551,0.03736028909668872,0.7586017273656899,31.300048828125,787,1.7700042724609375,13376,0.13599991798400923,174141,1.5500000000000003,52.60000000000001,3.6000000000000005,0.024263548536764587,0.8200006484985334
7,CRP_mom,0.029485912249779235,54.942324664240004,0.1887983679641336,1732100076.375,cryptos,0.0,0.0,0.006236043155420164,0.28699035618391494,0.021053611552824165,1.0034576107296962,0.013191800232294324,0.16349575652829426,34.699951171875,339,2.3499984741210938,75929,0.06699991226196289,47684,1.5500000000000003,52.45714285714285,3.5285714285714285,0.07547907106225579,2.349999427795412
8,CRP_mom,0.026074376831618378,54.609658831206616,0.1896122138501022,1593671213.125,cryptos,0.0,0.0,0.004891637449065949,1.3597290790611516,0.016381110473752954,0.41501357602489825,0.010005622946826625,0.17053322538506072,20.10009765625,400,3.9300003051757812,44054,0.06699991226196333,127974,1.5500000000000003,52.39999999999999,3.5,0.028140015793045613,1.310000419616701
9,?,0.056973348255171134,105.55705977152684,0.29455834513713275,4385756638.625,cryptos,0.0,4.0,0.004258639764622709,1.0943317495249487,0.0057817268692154965,0.06361992875404676,0.01725274676097034,0.14380307988227664,16.4000244140625,97,0.8499984741210938,4227,0.18400001525878906,75436,1.5500000000000003,52.39999999999999,3.5,0.008647044213267573,0.3199996948242152
10,?,0.0302877261033751,49.036168466933304,0.1343539368018791,1358789813.375,cryptos,0.0,3.0,0.003010246963615038,0.7482104064018539,0.010798891983490896,0.24179675339878723,0.0244418966006324,0.17207122862619353,15.7999267578125,93,4.1599998474121165,15357,0.11000001430511497,113532,1.5500000000000003,52.39999999999999,3.5,0.04723064178573185,2.460000038146971
11,CRP_mom,0.033009268647814304,78.73080549901351,0.17969592524468905,1921236844.5,cryptos,0.0,2.0,0.004396680731054637,5.444302229783195,0.011297461725025115,1.350418530286707,0.018493659973887674,0.5286472320449906,14.300048828125,251271,1.6500015258789062,40959,0.10500001907348633,160401,1.5585714285714285,52.25714285714285,3.5,0.10410175027220082,3.3500003814697266
