Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2017-01-03,1043.8399658203125,185168000,,,,,,,,,,,,,,,,,4.626200199127197,10055700,1.0,3,1,False,False,True,False
2017-01-04,1154.72998046875,344945984,,,,,,,,,,,,,,,,,4.837850093841553,13762400,1.0,4,2,False,False,True,False
2017-01-05,1013.3800048828125,510199008,,,,,,,,,,,,,,,,,4.292719841003418,19196000,1.0,5,3,False,False,False,False
2017-01-06,902.2009887695312,351876000,,,,,,,,,,,,,,,,,3.861259937286377,11063700,1.0,6,4,False,False,False,False
2017-01-07,908.5850219726562,279550016,,,,,,,,,,,,,,,,,3.9558799266815186,14628400,1.0,7,5,True,False,False,False
2017-01-08,911.198974609375,158715008,,,,,,,,,,,,,,,,,3.994580030441284,11728600,1.0,8,6,True,False,False,False
2017-01-09,902.8280029296875,141876992,,,,,,,,,,,,,,,,,4.301959991455078,11165200,1.0,9,0,False,False,False,False
2017-01-10,907.6790161132812,115808000,,,,,,,,,,,,,,,,,4.591509819030762,15157900,1.0,10,1,False,False,False,False
2017-01-11,777.7570190429688,310928992,,,,,,,,,,,,,,,,,3.846790075302124,21863300,1.0,11,2,False,False,False,False
2017-01-12,804.833984375,222326000,,,,,,,,,,,,,,,,,3.9628000259399414,13690900,1.0,12,3,False,False,False,False
2017-01-13,823.9840087890625,168968000,,,,,,,,,,,,,,,,,3.8908700942993164,7720620,1.0,13,4,False,False,False,False
2017-01-14,818.4119873046875,93063296,,,,,,,,,,,,,,,,,3.9005300998687744,3999180,1.0,14,5,True,False,False,False
