Date,AAPL_Close,AAPL_Vol,TSLA_Close,TSLA_Vol,ADBE_Close,ADBE_Vol,ADI_Close,ADI_Vol,ADP_Close,ADP_Vol,ADSK_Close,ADSK_Vol,AEP_Close,AEP_Vol,ALGN_Close,ALGN_Vol,AMAT_Close,AMAT_Vol,AMD_Close,AMD_Vol,NVDA_Close,NVDA_Vol,AMGN_Close,AMGN_Vol,AMZN_Close,AMZN_Vol,ASML_Close,ASML_Vol,ATVI_Close,ATVI_Vol,AVGO_Close,AVGO_Vol,AZN_Close,AZN_Vol,BIDU_Close,BIDU_Vol,BIIB_Close,BIIB_Vol,BKNG_Close,BKNG_Vol,CDNS_Close,CDNS_Vol,TMUS_Close,TMUS_Vol,CHTR_Close,CHTR_Vol,CMCSA_Close,CMCSA_Vol,COST_Close,COST_Vol,GOOGL_Close,GOOGL_Vol,CRWD_Close,CRWD_Vol,CSCO_Close,CSCO_Vol,CSX_Close,CSX_Vol,CTAS_Close,CTAS_Vol,CTSH_Close,CTSH_Vol,DDOG_Close,DDOG_Vol,DLTR_Close,DLTR_Vol,DXCM_Close,DXCM_Vol,EA_Close,EA_Vol,EBAY_Close,EBAY_Vol,EXC_Close,EXC_Vol,FAST_Close,FAST_Vol,FISV_Close,FISV_Vol,GOOG_Close,GOOG_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2019-11-11,64.32439422607422,81821200,69.01799774169922,49933500,290.2699890136719,1777400,106.93374633789062,1263500,154.20883178710938,1417900,152.9199981689453,539500,80.98098754882812,2113400,258.6000061035156,527300,55.017601013183594,5651000,36.310001373291016,43511100,51.85585021972656,24343600,201.98947143554688,1364300,88.5824966430664,38920000,260.3436584472656,451700,51.61860275268555,6826300,283.2707214355469,915400,43.331878662109375,1957300,120.87000274658203,4096200,294.1400146484375,1007700,1896.0400390625,471200,67.44999694824219,823000,79.62000274658203,6388500,473.5,777600,42.73005294799805,11169500,287.09088134765625,1160900,64.91400146484375,17234000,46.20000076293945,1286900,44.20914077758789,19590400,23.811573028564453,4007400,253.60997009277344,435600,60.178951263427734,1534300,33.54999923706055,1665000,108.93000030517578,1450900,51.41999816894531,6073600,95.52667999267578,2159800,33.93865203857422,3930600,28.35321807861328,5126273,34.267086029052734,1828800,110.25,3503300,64.95950317382812,20238000,1.0,11,0,False,False,False,True
2019-11-12,64.26551055908203,87388800,69.98600006103516,36797000,291.7200012207031,2084900,107.60830688476562,2277100,156.98309326171875,1921700,158.05999755859375,1618100,80.73468780517578,1966600,258.9700012207031,548200,54.85231399536133,5115400,36.709999084472656,58664500,52.21204376220703,28350400,202.54774475097656,2704500,88.9000015258789,40752000,261.19287109375,336100,51.058380126953125,12564600,285.78863525390625,1687500,43.51673889160156,2533500,121.80000305175781,3550700,291.3999938964844,1860900,1875.8399658203125,496600,67.58000183105469,867600,77.43000030517578,4346000,474.07000732421875,693000,42.71116256713867,12175300,286.7664794921875,1540800,64.8604965209961,28852000,47.04999923706055,1740800,44.457298278808594,15632900,23.441024780273438,8154600,251.89727783203125,1191200,60.37109375,2726100,34.400001525878906,3258700,107.69000244140625,1695100,51.53499984741211,5217200,95.46722412109375,3684300,33.765350341796875,6182600,28.546445846557617,6274090,34.33222198486328,2945500,110.6500015258789,2448900,64.94000244140625,21718000,1.0,12,1,False,False,False,False
2019-11-13,64.88127136230469,102734400,69.22200012207031,42100500,293.5400085449219,1739900,108.47289276123047,1683600,159.45541381835938,2325600,159.2100067138672,978400,81.97535705566406,4140200,259.6300048828125,382800,55.532875061035156,5703000,37.52000045776367,67648300,51.95299530029297,30018800,201.04678344726562,2333000,87.65550231933594,59790000,263.4671936035156,422800,51.43185806274414,11542500,284.1039733886719,1262500,44.20073318481445,2009400,118.29000091552734,3761700,281.8900146484375,1910300,1859.0899658203125,426000,67.20999908447266,836400,77.97000122070312,2715800,480.1600036621094,1288600,42.68283462524414,11379200,289.0567626953125,1517900,64.80899810791016,20538000,52.0,2860000,44.54001998901367,25187000,23.183252334594727,7371300,248.3842315673828,1667300,60.0540657043457,1734500,40.189998626708984,10597600,108.4000015258789,1574900,50.724998474121094,3777600,95.14018249511719,2860000,33.351348876953125,6190800,28.662384033203125,6312645,33.51345443725586,3165000,111.33000183105469,3382300,64.9000015258789,16534000,1.0,13,2,False,False,False,False
2019-11-14,64.4323501586914,89182800,69.87000274658203,32324500,294.5299987792969,1459700,107.66532135009766,1102200,160.55003356933594,2367900,158.13999938964844,1272000,81.7381591796875,2668200,260.44000244140625,392300,55.377315521240234,8236000,38.349998474121094,65829500,52.25687789916992,51808000,201.3047637939453,2749300,87.7300033569336,45296000,263.2817077636719,539200,51.79551315307617,7185700,279.8470153808594,1726800,43.784786224365234,1498700,118.19999694824219,4780600,275.1499938964844,2354800,1865.550048828125,276900,67.16000366210938,907700,76.83999633789062,2881500,479.9700012207031,861000,42.918914794921875,11363900,290.6695251464844,1336400,65.4574966430664,28948000,52.72999954223633,2820900,41.277183532714844,65568900,23.147815704345703,4818900,252.39358520507812,604900,60.630489349365234,2600900,41.369998931884766,2564300,108.75,1311700,50.70249938964844,3820400,96.6664047241211,3300700,33.65943908691406,6029200,28.982534408569336,6724413,33.680931091308594,2976900,114.0999984741211,3653600,65.572998046875,23870000,1.0,14,3,False,False,False,False
2019-11-15,65.19774627685547,100206400,70.43399810791016,24045000,297.5,2011300,107.7413330078125,1767400,161.52198791503906,1611200,161.75,1726600,81.70166778564453,3601300,263.9200134277344,602200,60.33561325073242,28389000,38.560001373291016,62958500,50.861968994140625,105362800,203.47901916503906,2028600,86.97450256347656,78552000,268.3964538574219,667900,52.52280807495117,5326900,283.41558837890625,1812000,43.849491119384766,2267000,117.05000305175781,3831700,282.2699890136719,1922200,1848.8199462890625,366400,67.4800033569336,1481900,78.06999969482422,3941400,475.6000061035156,842300,42.07848358154297,23178600,289.7820129394531,1706100,66.677001953125,39286000,59.75,4004300,41.442623138427734,32385000,23.073699951171875,8582700,249.2406005859375,658800,60.88988494873047,2553600,40.630001068115234,2117200,108.8499984741211,1223200,52.092498779296875,4668800,96.6664047241211,3315500,33.957908630371094,6301800,29.23579978942871,6435460,33.80188751220703,4185700,113.91000366210938,3246500,66.74349975585938,35652000,1.0,15,4,False,False,False,False
2019-11-18,65.52647399902344,86703200,69.99800109863281,22002000,297.1600036621094,1632700,106.38267517089844,1845200,161.10678100585938,1444500,162.44000244140625,1538100,82.23990631103516,2789900,268.510009765625,801600,60.61754608154297,10413100,39.880001068115234,66102800,52.877113342285156,57458800,203.30401611328125,2239500,87.62650299072266,56790000,266.9322814941406,430700,51.82499694824219,6442300,281.7490234375,1585000,44.31165313720703,1860500,116.5199966430664,2482600,282.6199951171875,1626700,1838.030029296875,362000,67.2300033569336,1059400,78.19000244140625,4235800,474.07000732421875,1150900,42.12569046020508,16260100,290.6217956542969,1241300,65.99199676513672,27984000,57.06999969482422,2239400,41.49776840209961,22742800,22.883596420288086,13538400,249.26010131835938,600000,61.32357406616211,2812800,40.31999969482422,1151500,109.05999755859375,1428500,53.44499969482422,5936800,96.51773071289062,2646600,33.794227600097656,7639100,29.489065170288086,8846059,33.364593505859375,2956900,114.5,2221700,66.03500366210938,29748000,1.0,18,0,False,False,False,False
2019-11-19,65.32777404785156,76167200,71.90399932861328,38624000,300.6000061035156,2142700,106.13565063476562,1876200,161.44650268554688,1284000,164.52999877929688,1269600,82.71427917480469,3787700,271.6000061035156,605900,59.246726989746094,9886800,41.290000915527344,94373000,51.80851745605469,41456400,206.8325653076172,2551600,87.6395034790039,45416000,265.05816650390625,465200,52.36555480957031,5092500,287.75408935546875,3174300,44.06208419799805,2105200,115.69000244140625,2580400,285.42999267578125,2001500,1845.300048828125,274000,68.48999786376953,1561400,77.16000366210938,2332900,478.9700012207031,794800,42.31455612182617,16469200,288.42694091796875,1761400,65.62950134277344,21864000,56.0,1591200,41.79188537597656,19612600,22.8803768157959,7097700,250.97280883789062,485600,61.603057861328125,2108800,39.150001525878906,1890800,106.87999725341797,1261500,54.39500045776367,5051200,95.82400512695312,3415400,33.7557258605957,5307000,29.463088989257812,13557620,33.2436408996582,3787500,116.04000091552734,2181200,65.77300262451172,25384000,1.0,19,1,False,False,False,False
2019-11-20,64.56726837158203,106234400,70.44400024414062,33625500,300.1000061035156,1841300,103.16183471679688,2987600,160.96524047851562,1286900,165.3300018310547,1528900,83.4349594116211,2136400,268.7699890136719,601900,58.19310760498047,12037600,40.97999954223633,79767900,52.60312271118164,47258800,207.76307678222656,3524300,87.27649688720703,55800000,262.4422607421875,408800,53.161651611328125,7421100,282.29248046875,1992700,43.4520378112793,2265900,114.80000305175781,3127100,285.3999938964844,1409600,1851.8199462890625,354700,67.69999694824219,1558800,77.63999938964844,2779400,479.0799865722656,1148200,41.757408142089844,15240200,286.833251953125,1979500,65.09300231933594,28892000,54.880001068115234,2256900,41.43342971801758,18660800,22.413162231445312,10098000,252.49087524414062,633300,61.207916259765625,2774500,38.400001525878906,1158000,107.26000213623047,1339700,55.33250045776367,6060000,97.24119567871094,3035700,33.563167572021484,9520400,29.456594467163086,35516305,32.80634307861328,3937700,115.3499984741211,2354100,65.15249633789062,26172000,1.0,20,2,False,False,False,False
2019-11-21,64.27778625488281,121395200,70.96600341796875,30550000,298.79998779296875,1609800,103.35186767578125,2903000,160.2858428955078,1184800,165.0500030517578,1242500,83.07918548583984,1859500,272.1400146484375,500400,55.06150817871094,13935300,39.52000045776367,88069400,52.354026794433594,28838800,209.89132690429688,2659300,86.7354965209961,53258000,260.6462707519531,652100,52.768516540527344,3960300,285.5350341796875,1931700,44.00662612915039,2394800,115.6500015258789,2796900,288.4599914550781,1292400,1873.31005859375,342700,67.19000244140625,1319000,77.69999694824219,1694800,474.6499938964844,674200,41.889625549316406,16252800,286.5469665527344,1302500,65.00700378417969,25546000,53.77000045776367,959400,41.21284103393555,19868800,22.36161231994629,8388000,246.81747436523438,502800,61.10190963745117,2296100,40.029998779296875,1410300,108.0,1540900,54.70249938964844,5300800,98.12322235107422,2817300,33.64018249511719,5660400,28.82668113708496,11819701,32.69469451904297,2645100,114.08000183105469,2608100,65.06749725341797,19910000,1.0,21,3,False,False,False,False
2019-11-22,64.22134399414062,65325200,66.60800170898438,84353000,299.29998779296875,1508900,105.12855529785156,1783600,160.087646484375,1279100,167.00999450683594,899400,83.50794982910156,2596600,274.3999938964844,639200,54.57371520996094,8627700,39.150001525878906,56931900,52.53089141845703,22410000,212.5814971923828,1975000,87.28600311279297,49582000,259.8556213378906,616000,52.12967300415039,4583000,285.23614501953125,1321600,44.339378356933594,2008700,117.98999786376953,3008400,299.0799865722656,3288200,1877.530029296875,239900,67.19000244140625,1444700,78.58999633789062,2896100,468.5,987700,42.305110931396484,14107400,285.630859375,1277300,64.68350219726562,27776000,54.20000076293945,1028400,41.222023010253906,18725700,22.71926498413086,7578000,247.26510620117188,491900,60.89951705932617,3049500,41.040000915527344,2671100,109.04000091552734,2030700,55.462501525878906,3610000,98.3016128540039,2690200,33.8134880065918,6165800,28.85265350341797,8201700,33.225032806396484,2551900,113.91999816894531,2486700,64.76699829101562,27714000,1.0,22,4,False,False,False,False
