Date	User	Tweet
2019-02-28 23:47:28+00:00	CoinDesk	JUST IN: @SignatureBankNY is courting licensed fintech firms in Bermuda, including crypto startups that have struggled to secure accounts. https://t.co/OrUKRr7n2q @nikhileshde reports
2019-02-28 23:30:00+00:00	CoinDesk	"NOW: Follow #CryptoController on @Twitch  
TOMORROW: Tune in at 5pmET https://t.co/Qt6DVQdkzs https://t.co/f5ZsmimBNR"
2019-02-28 23:10:09+00:00	CoinDesk	We're happy to welcome @gendal to speak at #Consensus2019. Register now: https://t.co/COXXDSfp1f https://t.co/mt6IPV4EtO
2019-02-28 23:05:11+00:00	CoinDesk	We're excited to announce our sponsor @PrimeTrustCo will be at #Consensus2019. Register now: https://t.co/9xx9oTHbw9 https://t.co/3AjR7HeIxy
2019-02-28 22:00:37+00:00	CoinDesk	Attention sleuths: @krakenfx is offering up to $100,000 to anyone who can help locate @QuadrigaCoinEx's missing cryptocurrency holdings. https://t.co/4j2joZhOSc @nikhileshde reports
2019-02-28 21:33:17+00:00	CoinDesk	JUST IN: @BittrexExchange led a $1.5 million seed round in South African trading platform @valrdotcom https://t.co/i0crFQCyzn @La__Cuen reports
2019-02-28 20:43:06+00:00	CoinDesk	UPDATE: The ethereum blockchain is running smoothly after activating the #Constantinople and #StPetersburg hard forks. 137 blocks have now been mined, with no evidence of a chain split.
2019-02-28 20:17:40+00:00	CoinDesk	Over 70 blocks have been mined since the activation of ethereum upgrades #Constantinople and #StPetersburg at block 7,280,000, with no signs of a chain split. FULL STORY: https://t.co/In3noAMXqe
2019-02-28 20:11:29+00:00	CoinDesk	JUST IN – After a series of delays and false starts, the ethereum blockchain appears to have officially activated a slew of new upgrades without incident: https://t.co/In3noAMXqe @Christine_dkim reports #Constantinople #StPetersburg
2019-02-28 20:10:14+00:00	CoinDesk	SUBSCRIBE to our newsletters for the latest in blockchain news: https://t.co/0DRBlDuWc2 https://t.co/S9qGMOZ4Wb
