,algo,close_volatility,close_range,vol_volatility,vol_range,market
0,BestMarkowitz,0.03448154446154024,7.005323436753503,0.5363596562003029,35277806.68965517,Nasdaq
1,BestMarkowitz,0.030891247225106968,5.285323770909474,0.5307096369942736,30135979.0,Nasdaq
2,BestMarkowitz,0.028054385187028068,4.1390242412172515,0.6002443609386536,70379203.68965517,Nasdaq
3,BCRP,0.03237495244830765,4.806729563351335,0.5170805673422963,58310513.655172415,Nasdaq
