,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets
0,BestMarkowitz,0.014445050675978774,6.931273317337036,0.3571157530492159,13033955.8,nasdaq,0.04129614898608142,1.0799999237060547,12.703999996185303,0.0,1.0
1,BestMarkowitz,0.013163308113684427,6.362608289718628,0.5186184013539816,12039701.95,nasdaq,0.08850487636334552,4.420000076293945,13.744999980926513,0.0,2.0
2,BestMarkowitz,0.012353935365300519,9.301594781875608,0.5001318275728643,17235433.0,nasdaq,0.0420238430557496,3.5399999618530256,13.186999988555907,0.0,3.0
3,BestMarkowitz,0.011863831125628726,5.620461893081665,0.38909573887796245,14922475.825,nasdaq,0.0730369963804382,2.349999427795412,13.493000030517578,0.0,1.0
4,BestMarkowitz,0.011852864770727712,8.507187986373902,0.34712486883480453,11195800.675,nasdaq,0.023286682350553898,0.8799991607665998,12.539000034332275,0.0,7.0
5,BestMarkowitz,0.024040735307862108,14.109216928482056,0.38263540098570614,25622057.9,nasdaq,0.12415122227094738,4.279999732971191,16.391999816894533,0.0,4.0
6,BestMarkowitz,0.016883692853934346,10.441276216506964,0.36449915425519264,13741924.975,nasdaq,0.06528991625559565,3.399999618530275,14.911000061035157,0.0,5.0
7,BestMarkowitz,0.03504502392275627,16.45888524055481,0.3012740390705629,20496647.95,nasdaq,0.16482400023643332,16.90999794006347,34.349999618530276,0.0,7.0
8,BestMarkowitz,0.0853555134211768,36.29228885173798,0.2782151535764036,17863481.625,nasdaq,0.21309710264180468,35.3900032043457,66.2050006866455,0.0,10.0
9,BestMarkowitz,0.05132324165427702,22.682822966575625,0.24753098478174848,18265410.625,nasdaq,0.07719334089772514,18.740001678466797,57.91400032043457,0.0,3.0
10,BestMarkowitz,0.028101723934020405,16.320778322219848,0.3154763571268222,15162579.975,nasdaq,0.07405129259823778,8.94000244140625,41.88199996948242,229.0,0.0
11,BestMarkowitz,0.02912113014955644,15.723223543167114,0.33832424361592783,17719989.975,nasdaq,0.07727753182888676,14.180000305175781,37.010000228881836,384.0,4.0
12,BestMarkowitz,0.026174051395866038,14.434940290451049,0.330183410109435,14554100.55,nasdaq,0.09325002010611112,7.709999084472656,31.683999824523926,761.0,3.0
13,BestMarkowitz,0.020587124167420433,15.073571920394897,0.4195391463365602,14190239.35,nasdaq,0.04602022525230147,3.690000534057617,28.30100021362305,267.0,3.0
14,BestMarkowitz,0.028528838181271977,18.028595399856567,0.32232128793749776,12342129.4,nasdaq,0.146895134600531,16.270000457763672,30.188999938964844,304.0,3.0
15,BestMarkowitz,0.0195746842615012,11.223757362365724,0.5521291006340198,21574021.35,nasdaq,0.06810501929849497,4.689998626708984,32.76700019836426,341.0,5.0
16,BestMarkowitz,0.021374847889122854,15.472058868408206,0.3420895058281253,13729422.65,nasdaq,0.07992355452947161,4.899997711181641,28.77700023651123,319.0,3.0
17,BestMarkowitz,0.02119870873522503,10.849725914001464,0.37318862660906643,17039620.95,nasdaq,0.04822037022459018,3.8999996185302734,25.35,221.0,5.0
18,BestMarkowitz,0.02090493986920704,15.160112428665162,0.36409201998139323,20886624.375,nasdaq,0.04129386352125286,2.630001068115238,23.354999923706053,299.0,3.0
19,BestMarkowitz,0.014420332967785748,14.216974210739139,0.3407560875908111,18375183.6,nasdaq,0.028359506681103815,1.9200000762939453,22.251000213623048,272.0,4.0
20,BestMarkowitz,0.029582612689348003,22.555257177352907,0.34097052615725987,19359624.975,nasdaq,0.10727031895195037,10.639999389648438,28.085999488830566,296.0,5.0
21,BestMarkowitz,0.02022557367328636,14.202884531021118,0.3615846041237882,16064153.325,nasdaq,0.03974943292533838,2.9899997711181605,26.8370002746582,341.0,8.0
22,BestMarkowitz,0.019862093908321034,12.279005146026615,0.33700480792267384,9722699.55,nasdaq,0.036553368798920405,3.289999008178711,27.13999996185303,396.0,10.0
23,BestMarkowitz,0.018817799775771308,18.335606002807616,0.3349279327150779,13156002.95,nasdaq,0.02688121757006896,4.350000381469727,27.220999908447265,481.0,7.0
24,BestMarkowitz,0.030799713150278445,25.17438111305237,0.3965137188144007,16881147.45,nasdaq,0.11694471482879659,12.729999542236335,33.90799961090088,424.0,4.0
