,algo,close_volatility,close_range,vol_volatility,vol_range,market,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets,Volatility_Gold_Close,Volatility_Gold_Vol,Volatility_Oil_Close,Volatility_Oil_Vol,Volatility_Gas_Close,Volatility_Gas_Vol,Range_Gold_Close ,Range_Gold_Vol,Range_Oil_Close,Range_Oil_Vol,Range_Gas_Close,Range_Gas_Vol,Mean_FED,Mean_PMI,Mean_Unemploy,Volatility_VIX,Range_VIX
0,?,0.06713482192616399,123.2096048637759,0.2978150544499837,424375137.5,cryptos,110,4,0.002122320408702107,0.8088155162778764,0.006373400131679126,0.2593985888053208,0.004954572036510403,0.18986622335089248,5.2000732421875,22,1.6699981689453125,18261,0.05099987983703613,104510,1.9499999999999997,54.699999999999996,3.6999999999999997,0.002122320408702107,5.2000732421875
1,BestMarkowitz,0.041912456332027476,40.6768578030169,0.18437684770961782,222037587.5,cryptos,143,6,0.004533782812355521,1.3860322874673185,0.013547187322913838,0.13835283452658434,0.008742425117892536,0.10946137771735084,11.699951171875,36,2.3699951171875,6885,0.06200003623962402,24737,1.9499999999999997,54.699999999999996,3.6999999999999997,0.004533782812355521,11.699951171875
2,BCRP,0.06565200091952052,63.99588663317263,0.27473671223589163,1138401587.5,cryptos,242,5,0.004583466577692725,,0.006961304293965701,0.21839150712906405,0.0189459578258979,0.345443640453342,10.0,2,1.3499984741210938,17476,0.16300010681152388,119696,1.9499999999999997,54.699999999999996,3.6999999999999997,0.004583466577692725,10.0
3,PAMR,0.0429319458877562,38.776248490670696,0.2633724502603708,425085525.0,cryptos,104,4,0.005923195053971192,,0.006663872096459167,0.7700885725885047,0.013952120647874131,0.5991077583428736,17.699951171875,17857,1.5200042724609375,27802,0.07400012016296387,187492,1.9499999999999997,54.699999999999996,3.6999999999999997,0.005923195053971192,17.699951171875
