Date	Date
2018-01-01	18
2018-01-02	43
2018-01-03	37
2018-01-04	33
2018-01-05	21
2018-01-06	6
2018-01-07	7
2018-01-08	24
2018-01-09	21
2018-01-10	17
2018-01-11	18
2018-01-12	15
2018-01-13	4
2018-01-14	8
2018-01-15	13
2018-01-16	30
2018-01-17	17
2018-01-18	21
2018-01-19	15
2018-01-20	2
2018-01-21	3
2018-01-22	15
2018-01-23	20
2018-01-24	26
2018-01-25	17
2018-01-26	23
2018-01-27	5
2018-01-28	2
2018-01-29	18
2018-01-30	20
2018-01-31	21
2018-02-01	18
2018-02-02	26
2018-02-03	4
2018-02-04	2
2018-02-05	25
2018-02-06	67
2018-02-07	81
2018-02-08	25
2018-02-09	24
2018-02-10	4
2018-02-11	2
2018-02-12	25
2018-02-13	22
2018-02-14	61
2018-02-15	30
2018-02-16	18
2018-02-17	2
2018-02-18	2
2018-02-19	18
2018-02-20	17
2018-02-21	25
2018-02-22	21
2018-02-23	21
2018-02-24	2
2018-02-25	2
2018-02-26	22
2018-02-27	26
2018-02-28	19
2018-03-01	22
2018-03-02	17
2018-03-03	2
2018-03-04	2
2018-03-05	22
2018-03-06	24
2018-03-07	60
2018-03-08	69
2018-03-09	21
2018-03-10	4
2018-03-11	4
2018-03-12	20
2018-03-13	19
2018-03-14	115
2018-03-15	24
2018-03-16	20
2018-03-17	8
2018-03-18	9
2018-03-19	22
2018-03-20	21
2018-03-21	26
2018-03-22	25
2018-03-23	20
2018-03-24	4
2018-03-25	1
2018-03-26	25
2018-03-27	22
2018-03-28	18
2018-03-29	18
2018-03-30	22
2018-03-31	2
2018-04-01	3
2018-04-02	17
2018-04-03	16
2018-04-04	17
2018-04-05	54
2018-04-06	24
2018-04-07	6
2018-04-08	7
2018-04-09	25
2018-04-10	28
2018-04-11	23
2018-04-12	27
2018-04-13	27
2018-04-14	4
2018-04-15	2
2018-04-16	29
2018-04-17	36
2018-04-18	23
2018-04-19	68
2018-04-20	29
2018-04-21	3
2018-04-22	3
2018-04-23	86
2018-04-24	35
2018-04-25	30
2018-04-26	23
2018-04-27	22
2018-04-28	2
2018-04-29	2
2018-04-30	24
2018-05-01	22
2018-05-02	27
2018-05-03	23
2018-05-04	20
2018-05-05	5
2018-05-06	2
2018-05-07	26
2018-05-08	61
2018-05-09	25
2018-05-10	22
2018-05-11	47
2018-05-12	11
2018-05-13	9
2018-05-14	82
2018-05-15	51
2018-05-16	33
2018-05-17	9
2018-05-18	5
2018-05-19	2
2018-05-20	1
2018-05-21	14
2018-05-22	19
2018-05-23	15
2018-05-24	20
2018-05-25	16
2018-05-26	2
2018-05-27	2
2018-05-28	11
2018-05-29	14
2018-05-30	17
2018-05-31	16
2018-06-01	13
2018-06-02	4
2018-06-03	2
2018-06-04	16
2018-06-05	16
2018-06-06	21
2018-06-07	72
2018-06-08	16
2018-06-09	3
2018-06-10	8
2018-06-11	20
2018-06-12	22
2018-06-13	21
2018-06-14	28
2018-06-15	19
2018-06-16	7
2018-06-17	4
2018-06-18	21
2018-06-19	17
2018-06-20	33
2018-06-21	33
2018-06-22	25
2018-06-23	5
2018-06-24	4
2018-06-25	34
2018-06-26	20
2018-06-27	20
2018-06-28	24
2018-06-29	14
2018-06-30	11
2018-07-01	8
2018-07-02	43
2018-07-03	18
2018-07-04	11
2018-07-05	17
2018-07-06	18
2018-07-07	8
2018-07-08	6
2018-07-09	22
2018-07-10	19
2018-07-11	27
2018-07-12	28
2018-07-13	25
2018-07-14	9
2018-07-15	7
2018-07-16	21
2018-07-17	26
2018-07-18	91
2018-07-19	25
2018-07-20	28
2018-07-21	8
2018-07-22	6
2018-07-23	18
2018-07-24	26
2018-07-25	24
2018-07-26	37
2018-07-27	28
2018-07-28	10
2018-07-29	9
2018-07-30	25
2018-07-31	29
2018-08-01	34
2018-08-02	24
2018-08-03	25
2018-08-04	6
2018-08-05	2
2018-08-06	24
2018-08-07	32
2018-08-08	32
2018-08-09	31
2018-08-10	32
2018-08-11	14
2018-08-12	11
2018-08-13	26
2018-08-14	29
2018-08-15	22
2018-08-16	25
2018-08-17	25
2018-08-18	9
2018-08-19	7
2018-08-20	23
2018-08-21	35
2018-08-22	28
2018-08-23	28
2018-08-24	24
2018-08-25	12
2018-08-26	9
2018-08-27	15
2018-08-28	19
2018-08-29	23
2018-08-30	23
2018-08-31	18
2018-09-01	8
2018-09-02	7
2018-09-03	14
2018-09-04	29
2018-09-05	22
2018-09-06	37
2018-09-07	22
2018-09-08	13
2018-09-09	13
2018-09-10	19
2018-09-11	25
2018-09-12	23
2018-09-13	31
2018-09-14	19
2018-09-15	10
2018-09-16	5
2018-09-17	19
2018-09-18	29
2018-09-19	73
2018-09-20	88
2018-09-21	18
2018-09-22	8
2018-09-23	7
