Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2017-12-01,10975.599609375,6783119872,466.5400085449219,1247879936,0.0021180000621825457,6294070,2.070230007171631,28867200,0.2556990087032318,182992000,0.002148000057786703,5258110,0.1313520073890686,73657600,,,,,99.00370025634766,561342976,1.0,1,4,False,False,True,False
2017-12-02,11074.599609375,5138500096,463.4490051269531,943649984,0.0020729999523609877,5760180,2.084160089492798,24332700,0.2554920017719269,118250000,0.0021490000654011965,4978180,0.13235099613666534,56712600,,,,,100.28399658203125,402553984,1.0,2,5,True,False,True,False
2017-12-03,11323.2001953125,6608309760,465.8529968261719,990556992,0.002116000046953559,7261200,2.227250099182129,35163500,0.25255799293518066,134710000,0.002222999930381775,4751640,0.13180699944496155,46458900,,,,,101.26300048828125,364022016,1.0,3,6,True,False,True,False
2017-12-04,11657.2001953125,6132409856,470.2040100097656,1005550016,0.0021440000273287296,10447300,2.4916799068450928,41226200,0.2535710036754608,104650000,0.0024629998952150345,6307150,0.13586999475955963,76392704,,,,,104.23600006103516,331151008,1.0,4,0,False,False,True,False
2017-12-05,11916.7001953125,6895260160,463.281005859375,1216720000,0.002085000043734908,8749920,2.5952999591827393,49190000,0.2461010068655014,174591008,0.0024790000170469284,8772420,0.12748800218105316,50381100,,,,,102.39700317382812,328726016,1.0,5,1,False,False,False,False
2017-12-06,14291.5,12656300032,428.5880126953125,1998259968,0.00305499997921288,33314700,2.5876901149749756,41731500,0.23254400491714478,274526016,0.0026630000211298466,9047960,0.11783900111913681,75688800,,,,,100.35199737548828,547512000,1.0,6,2,False,False,False,False
2017-12-07,17899.69921875,17950699520,434.4079895019531,2129570048,0.004275000188499689,44215300,2.779949903488159,28297900,0.22282299399375916,275204992,0.0027199999894946814,15759300,0.10550100356340408,71024600,,,,,98.29239654541016,645691008,1.0,7,3,False,False,False,False
2017-12-08,16569.400390625,21135998976,456.031005859375,2336379904,0.004393999930471182,21605600,2.830670118331909,38648500,0.25212499499320984,660172032,0.002778999973088503,11797600,0.11546500027179718,70092400,,,,,124.84600067138672,1515559936,1.0,8,4,False,False,False,False
2017-12-09,15178.2001953125,13911300096,473.50201416015625,2003849984,0.004472999833524227,17520500,2.6104300022125244,27217000,0.24470800161361694,205288992,0.002616999903693795,6564530,0.11960899829864502,63308600,,,,,155.24200439453125,2436539904,1.0,9,5,True,False,False,False
2017-12-10,15455.400390625,13433299968,441.72100830078125,1404179968,0.004408000037074089,18145200,2.483370065689087,19258500,0.2373329997062683,198174000,0.0025470000691711903,5614920,0.11028099805116653,46376600,,,,,148.66000366210938,1087340032,1.0,10,6,True,False,False,False
2017-12-11,16936.80078125,12153900032,515.135986328125,1771440000,0.005282000172883272,20137200,2.7066500186920166,19427000,0.2516910135746002,176100992,0.0027979998849332333,7017140,0.12138299643993378,39513900,,,,,214.2030029296875,2913979904,1.0,11,0,False,False,False,False
2017-12-12,17415.400390625,14603799552,651.4310302734375,5179829760,0.007612999994307756,48699100,2.6847500801086426,24523200,0.373540997505188,1555040000,0.00330400001257658,19228600,0.1338910013437271,60056800,,,,,316.15899658203125,6961679872,1.0,12,1,False,False,False,False
2017-12-13,16408.19921875,12976900096,702.7670288085938,4524539904,0.016459999606013298,174319008,2.77810001373291,28429500,0.4710629880428314,2738759936,0.003461000043898821,31150900,0.1342809945344925,61575000,,,,,302.60198974609375,3409789952,1.0,13,2,False,False,False,False
2017-12-14,16564.0,13777399808,695.8159790039062,3821580032,0.01768999919295311,192816992,3.1587400436401367,40335300,0.8642629981040955,6358700032,0.0037090000696480274,23426200,0.24075299501419067,309307008,,,,,279.3280029296875,2114880000,1.0,14,3,False,False,False,False
2017-12-15,17706.900390625,14309999616,684.447998046875,2758710016,0.01843399927020073,139710000,3.996150016784668,52745900,0.756181001663208,3194210048,0.0037620000075548887,19043800,0.21346700191497803,207311008,,,,,299.77899169921875,2599940096,1.0,15,4,False,False,False,False
2017-12-16,19497.400390625,12740599808,696.208984375,2165690112,0.036270998418331146,336496000,4.664649963378906,54002400,0.7586420178413391,1334770048,0.005932999774813652,136352992,0.4046649932861328,581052032,,,,,298.97198486328125,1291379968,1.0,16,5,True,False,False,False
2017-12-17,19140.80078125,13314599936,719.9749755859375,2147389952,0.03618999943137169,338444992,5.756720066070557,98159600,0.7283660173416138,805200000,0.00598399993032217,99417200,0.5130109786987305,628142976,,,,,318.718994140625,1703580032,1.0,17,6,True,False,False,False
2017-12-18,19114.19921875,14839499776,794.64501953125,3249230080,0.044589001685380936,369401984,5.61584997177124,66623700,0.7784069776535034,1342720000,0.006432999856770039,44158800,0.5181980133056641,253463008,,,,,358.33599853515625,1966599936,1.0,18,0,False,False,False,False
