Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,LUNA1-USD_Close,LUNA1-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-09-28,41034.54296875,30214940550,2807.296630859375,16895079070,0.08314500004053116,1284143801,333.0325927734375,1294330921,0.893688976764679,2818990506,0.1968040019273758,866301240,2.0391390323638916,3092923646,131.53721618652344,2422542861,7.000000096013537e-06,229379215,140.5971221923828,2716268316,33.16389083862305,1162571320,1.0,28,1,False,True,False,False
2021-09-29,41564.36328125,30602359905,2853.143310546875,15763456158,0.08594600111246109,1177606321,367.9895935058594,2385693434,0.9283490180969238,3558174320,0.19887599349021912,926737135,2.065687894821167,2869486117,135.35145568847656,2428105040,7.000000096013537e-06,193035725,144.9186248779297,2611872987,34.186187744140625,1141052735,1.0,29,2,False,True,False,False
2021-09-30,43790.89453125,31141681925,3001.678955078125,17661065099,0.08942600339651108,1021905677,387.0573425292969,1796235646,0.9526360034942627,3051316850,0.204244002699852,916819792,2.1144518852233887,2621620164,141.0690460205078,2244376110,7.000000096013537e-06,308553065,153.1479949951172,2490894083,38.6016731262207,1118584914,1.0,30,3,False,True,False,False
2021-10-01,48116.94140625,42850641582,3307.51611328125,22307625573,0.09473200142383575,1244241400,421.6431884765625,2162493378,1.0426239967346191,5125674349,0.22301000356674194,1435469263,2.258126974105835,3235813427,161.682373046875,4387488320,7.999999979801942e-06,316837935,166.1322021484375,3075986940,37.73747634887695,1270901115,1.0,1,4,False,False,True,False
2021-10-02,47711.48828125,30614346492,3391.6943359375,19202671704,0.09362699836492538,1035214700,428.09832763671875,1740937420,1.0386749505996704,3884936924,0.21913300454616547,1166058975,2.2514588832855225,2911039833,169.093017578125,3471658582,7.999999979801942e-06,320232218,169.25892639160156,2954252473,41.47689437866211,1495129308,1.0,2,5,True,False,True,False
2021-10-03,48199.953125,26638115879,3418.358642578125,15516566862,0.09498099982738495,1058942942,430.5088195800781,1470899248,1.0551700592041016,3496121109,0.2217479944229126,1070267896,2.252872943878174,2331706759,172.5891571044922,3149579954,9.000000318337698e-06,627602337,170.60997009277344,3020051826,42.742488861083984,2042994989,1.0,3,6,True,False,True,False
2021-10-04,49112.90234375,33383173002,3380.089111328125,17747154101,0.09350699931383133,1221597030,425.7489013671875,1647171955,1.043004035949707,3164260800,0.2408519983291626,3684051106,2.189234972000122,2249001043,166.73191833496094,3109040100,1.2999999853491317e-05,5113996411,167.54014587402344,2809356425,46.723358154296875,2567463682,1.0,4,0,False,False,True,False
2021-10-05,51514.8125,35873904236,3518.5185546875,16632591670,0.09618300199508667,1803369231,442.7061462402344,1526827785,1.0855029821395874,3251465579,0.25201600790023804,4628329381,2.233124017715454,2090074822,164.11582946777344,2541087419,1.700000029813964e-05,9382762020,173.89108276367188,2779608244,44.70867156982422,1359206096,1.0,5,1,False,False,False,False
2021-10-06,55361.44921875,49034730168,3580.56201171875,21855226591,0.0955210030078888,1713306308,435.4013671875,2006344571,1.0776560306549072,3806090854,0.2551339864730835,4659725421,2.2121551036834717,2719301133,154.1077423095703,3259712887,2.8000000384054147e-05,15233960302,178.70567321777344,3434445937,41.948692321777344,1440155700,1.0,6,2,False,False,False,False
2021-10-07,53805.984375,36807860413,3587.974853515625,19090322927,0.09551399946212769,1627469794,438.7617492675781,1962989705,1.0680259466171265,3192050513,0.24292300641536713,2936116763,2.2769949436187744,3265277489,154.28118896484375,2579187256,2.300000051036477e-05,18731843000,178.771728515625,3653828647,46.54294967651367,1659946039,1.0,7,3,False,False,False,False
2021-10-08,53967.84765625,34800873924,3563.75927734375,16222029488,0.09766999632120132,1430548633,419.10205078125,2678048368,1.0628910064697266,2577289115,0.24385100603103638,1952117191,2.237175941467285,1977478611,158.94920349121094,2781848650,2.700000004551839e-05,12326548369,175.97238159179688,3235639420,43.28617858886719,1288643414,1.0,8,4,False,False,False,False
2021-10-09,54968.22265625,32491211414,3575.716796875,12707036942,0.10287000238895416,1790421869,421.5494689941406,1404867667,1.1599260568618774,4844564004,0.24659599363803864,1484990033,2.2666149139404297,1953066446,156.82583618164062,1522023824,2.700000004551839e-05,6401062357,179.65866088867188,3261336754,42.47336196899414,674240819,1.0,9,5,True,False,False,False
