Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,LUNA1-USD_Close,LUNA1-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2018-09-01,7193.25,4116050000,295.34100341796875,1546630000,0.026590000838041306,109153000,11.379400253295898,29776300,0.34772101044654846,257267000,0.0062779998406767845,193826000,0.10682699829339981,70208900,,,,,65.95099639892578,306586000,,,1.0,1,5,True,False,True,True
2018-09-02,7272.72021484375,4329540000,294.3710021972656,1321050000,0.025572000071406364,104754000,11.299400329589844,21757400,0.3425230085849762,240907000,0.004999000113457441,139429000,0.10443200170993805,58391900,,,,,65.64939880371094,265104000,,,1.0,2,6,True,False,True,True
2018-09-03,7260.06005859375,4087760000,289.2590026855469,1394490000,0.025036999955773354,91449300,11.261099815368652,18644300,0.3359610140323639,201147000,0.005266000051051378,57158800,0.10360699892044067,53687200,,,,,65.37319946289062,235034000,,,1.0,3,0,False,False,True,True
2018-09-04,7361.66015625,4273640000,285.7229919433594,1554870000,0.025255000218749046,96674400,11.359199523925781,18878700,0.3316519856452942,241419000,0.005268999841064215,32495100,0.10526499897241592,54317400,,,,,67.70989990234375,308206000,,,1.0,4,1,False,False,True,False
2018-09-05,6792.830078125,5800460000,232.33099365234375,2390390000,0.021810000762343407,150148000,10.086600303649902,29308300,0.28360098600387573,344488000,0.0049310000613331795,50536000,0.08756899833679199,98708900,,,,,58.43769836425781,409226000,,,1.0,5,2,False,False,False,False
2018-09-06,6529.169921875,5523470000,230.21499633789062,2097310000,0.021643999963998795,142361000,10.284199714660645,23466000,0.30270999670028687,329763000,0.005009999964386225,32481300,0.08866599947214127,73239200,,,,,57.48619842529297,351270000,,,1.0,6,3,False,False,False,False
2018-09-07,6467.06982421875,4264680000,217.2030029296875,1678260000,0.020594999194145203,110765000,10.037300109863281,16640400,0.29143500328063965,213961000,0.005307000130414963,37618700,0.08398299664258957,41868100,,,,,56.19779968261719,229626000,,,1.0,7,4,False,False,False,False
2018-09-08,6225.97998046875,3835060000,197.9510040283203,1517200000,0.019311999902129173,98754400,9.520079612731934,15053100,0.2793329954147339,169208000,0.005692000035196543,48248300,0.07823500037193298,35208700,,,,,53.244598388671875,223684000,,,1.0,8,5,True,False,False,False
2018-09-09,6300.85986328125,3671890000,196.9239959716797,1585980000,0.01936499960720539,97726800,9.512630462646484,13947300,0.2786799967288971,168991000,0.005828999914228916,32572000,0.07664299756288528,47870100,,,,,54.924198150634766,253320000,,,1.0,9,6,True,False,False,False
2018-09-10,6329.7001953125,3714100000,197.07899475097656,1502960000,0.019380999729037285,101717000,9.524869918823242,12427900,0.2703210115432739,204958000,0.006891999859362841,76891600,0.07350800186395645,44682000,,,,,54.59579849243164,251240000,,,1.0,10,0,False,False,False,False
2018-09-11,6321.2001953125,3849910000,185.0659942626953,1568900000,0.0186769999563694,106212000,9.3739595413208,18572100,0.26370999217033386,200330000,0.006328999996185303,89882900,0.07051300257444382,47614500,,,,,52.3672981262207,272379000,,,1.0,11,1,False,False,False,False
2018-09-12,6351.7998046875,4064230000,183.33099365234375,1874850000,0.01824299991130829,109120000,9.21442985534668,21323500,0.27008700370788574,298449000,0.006455000024288893,59824100,0.06674499809741974,91272400,,,,,51.65660095214844,290357000,,,1.0,12,2,False,False,False,False
2018-09-13,6517.31005859375,4210910000,211.35400390625,2330720000,0.01994599960744381,124862000,9.604060173034668,24817100,0.280582994222641,311799000,0.006554000079631805,45785700,0.06982900202274323,86011700,,,,,54.536399841308594,295074000,,,1.0,13,3,False,False,False,False
2018-09-14,6512.7099609375,4076220000,211.74899291992188,2232190000,0.019832000136375427,117114000,9.930049896240234,26124800,0.2771590054035187,269029000,0.006180000025779009,41910000,0.06824800372123718,62256800,,,,,56.576499938964844,336190000,,,1.0,14,4,False,False,False,False
2018-09-15,6543.2001953125,3216300000,223.07400512695312,1670490000,0.019933000206947327,94169900,10.110300064086914,27281100,0.28200799226760864,205361000,0.006165000144392252,16956400,0.06932199746370316,34842300,,,,,56.71310043334961,252020000,,,1.0,15,5,True,False,False,False
2018-09-16,6517.18017578125,3273730000,220.58900451660156,1502260000,0.019974999129772186,102132000,9.936019897460938,20623100,0.2811659872531891,197009000,0.0065310001373291016,21598600,0.0699630007147789,32643600,,,,,56.97269821166992,253978000,,,1.0,16,6,True,False,False,False
2018-09-17,6281.2001953125,3910780000,197.875,2019910000,0.01851700060069561,109688000,9.40526008605957,22370800,0.2722510099411011,246489000,0.00624299980700016,26385900,0.06389900296926498,48609600,,,,,52.54050064086914,261325000,,,1.0,17,0,False,False,False,False
2018-09-18,6371.2998046875,4180090000,209.97500610351562,1800640000,0.019388999789953232,100841000,9.544059753417969,23016100,0.3218599855899811,600216000,0.005981000140309334,39689500,0.06943000108003616,67159000,,,,,54.097198486328125,296552000,,,1.0,18,1,False,False,False,False
2018-09-19,6398.5400390625,4431340000,209.968994140625,1733330000,0.019752999767661095,114381000,9.61909008026123,22684800,0.3260529935359955,489609000,0.005609000101685524,38645300,0.07235000282526016,96071300,,,,,54.33449935913086,271642000,,,1.0,19,2,False,False,False,False
2018-09-20,6519.669921875,4348110000,224.59100341796875,1782070000,0.02141300030052662,135790000,10.07450008392334,27983700,0.4499180018901825,1291360000,0.005694999825209379,25354400,0.08149299770593643,103788000,,,,,56.6343994140625,260631000,,,1.0,20,3,False,False,False,False
2018-09-21,6734.9501953125,6531940000,246.58399963378906,2836200000,0.02493000030517578,283823000,10.410799980163574,35228200,0.5614619851112366,4101490000,0.005683999974280596,22345300,0.08760599792003632,212274000,,,,,60.722801208496094,398550000,,,1.0,21,4,False,False,False,False
2018-09-22,6721.97998046875,4509660000,240.47999572753906,1921820000,0.023175999522209167,173243000,10.244999885559082,21731800,0.5707979798316956,2411430000,0.005758000072091818,14917600,0.08319299668073654,82526800,,,,,60.43659973144531,298424000,,,1.0,22,5,True,False,False,False
2018-09-23,6710.6298828125,4197500000,244.3300018310547,1693470000,0.023791000247001648,138225000,10.280599594116211,22673000,0.5706890225410461,1043970000,0.0059009999968111515,12445100,0.08975400030612946,149996000,,,,,61.36640167236328,304888000,,,1.0,23,6,True,False,False,False
2018-09-24,6595.41015625,4177310000,228.72999572753906,1748740000,0.022089000791311264,116603000,10.035900115966797,19223700,0.4947119951248169,1034380000,0.005677000153809786,17243600,0.08275400102138519,89522100,,,,,57.96910095214844,296366000,,,1.0,24,0,False,False,False,False
2018-09-25,6446.47021484375,4726180000,218.5050048828125,2120360000,0.02127999998629093,126284000,9.783160209655762,19256100,0.5269410014152527,1639680000,0.0056859999895095825,17598700,0.08102799952030182,87535200,,,,,57.537601470947266,351579000,,,1.0,25,1,False,False,False,False
2018-09-26,6495.0,4437300000,215.8470001220703,1756100000,0.021028000861406326,110081000,9.7366304397583,18370400,0.5163080096244812,1821610000,0.005694999825209379,11673600,0.079475998878479,64321400,,,,,57.39550018310547,294136000,,,1.0,26,2,False,False,False,False
2018-09-27,6676.75,4606810000,228.49400329589844,2030320000,0.02250700071454048,124196000,10.031200408935547,26966900,0.5413810014724731,824083000,0.005878999829292297,15096200,0.08600100129842758,101911000,,,,,62.979400634765625,574277000,,,1.0,27,3,False,False,False,False
2018-09-28,6644.1298828125,5014430000,222.40199279785156,2018120000,0.021978000178933144,114936000,9.969340324401855,25097900,0.5391119718551636,718255000,0.005830999929457903,14461600,0.08403199911117554,89113600,,,,,61.89509963989258,459862000,,,1.0,28,4,False,True,False,False
2018-09-29,6601.9599609375,4363690000,231.63499450683594,2208720000,0.02203500084578991,108096000,9.999139785766602,26072400,0.57122802734375,1034370000,0.0058650001883506775,15626800,0.08460599929094315,55854000,,,,,61.60689926147461,356028000,,,1.0,29,5,True,True,False,False
2018-09-30,6625.56005859375,4002280000,232.84800720214844,1765560000,0.022165000438690186,117217000,10.017800331115723,26954000,0.5815719962120056,1329720000,0.005905999802052975,13396600,0.08519499748945236,49853100,,,,,61.14189910888672,463002000,,,1.0,30,6,True,True,False,False
