,algo,close_volatility,close_range,vol_volatility,vol_range,market,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets,Volatility_Gold_Close,Volatility_Gold_Vol,Volatility_Oil_Close,Volatility_Oil_Vol,Volatility_Gas_Close,Volatility_Gas_Vol,Range_Gold_Close ,Range_Gold_Vol,Range_Oil_Close,Range_Oil_Vol,Range_Gas_Close,Range_Gas_Vol,Mean_FED,Mean_PMI,Mean_Unemploy,Volatility_VIX,Range_VIX
0,?,0.08373533663429697,126.75279092788696,0.40831255213262074,188731158.0,cryptos,204,4,0.00733432409961083,2.036417774712459,0.019265397496172735,0.22194721085185448,0.02360903724665076,0.26140384855705534,23.0999755859375,484,2.1599998474121094,17740,0.2239999771118164,114059,0.65,54.300000000000004,4.7,0.035496179683710806,1.5300006866455078
1,CRP_mom,0.07256644448912572,65.33335840702057,0.5815640831823208,128889756.0,cryptos,183,5,0.004334139310566768,0.8113029571618333,0.013467785921704483,0.22980039692619228,0.022261933266022434,0.20975700476444165,14.7000732421875,102,2.3699989318847656,20527,0.19499993324279785,57146,0.65,54.300000000000004,4.7,0.01825583098782821,0.3100004196166992
2,CRP_mom,0.015822077956349725,19.079141259193364,0.26571216545077203,77137021.0,cryptos,190,6,0.005655203453375944,0.7465294390180849,0.01691398884756385,0.12058697657941952,0.027106293384791726,0.12059761523643867,14.0999755859375,98,1.5700035095214844,15668,0.20799994468688965,36912,0.65,54.300000000000004,4.7,0.05266839409988203,1.239999771118164
3,CRP_mom,0.015165839245318714,14.604867458343506,0.503262418797062,39334890.0,cryptos,196,9,0.005391296232011971,4.441256473773319,0.011557332290390736,0.444341703589556,0.023484214684447124,0.5501770491729637,22.2000732421875,234333,1.1599998474121094,35163,0.15899991989135742,137461,0.65,54.300000000000004,4.7,0.05190109029290244,1.3000001907348615
4,CRP_mom,0.008316028898905658,36.2696795463562,0.3251273570634123,50340200.0,cryptos,192,6,0.005084368106622004,0.48774339748491957,0.011424170898552145,1.6954746661550855,0.019044487980162058,0.2377442578862931,24.4000244140625,2347,1.1500015258789062,34194,0.13700008392333984,73754,0.6585714285714286,54.9,4.614285714285715,0.04045163049922534,1.0199995040893555
5,?,0.025256186692022117,37.35920751094818,0.7117390872121856,179140490.0,cryptos,180,6,0.0036755900617169842,0.8618302757837745,0.012840634118566015,0.24693169565065526,0.017361176079361565,0.10302949955285877,13.199951171875,889,1.6500015258789062,19815,0.19700002670288086,28686,0.66,55.0,4.6000000000000005,0.02510593425995329,0.5999994277954084
6,CRP_mom,0.011216643871338899,37.749046325683594,0.310768917762801,30920232.0,cryptos,169,4,0.0037031205509852685,0.6277454646311063,0.002263232701020887,0.11958983988168928,0.010939020712870456,0.07865949744393982,16.0999755859375,214,0.31999969482421875,6737,0.09099984169006348,16822,0.66,55.0,4.6000000000000005,0.048682804873862257,1.2300004959106445
7,CRP_rev,0.014389565020880752,32.3666809797287,0.4688396885163604,109252924.0,cryptos,178,3,0.006651360026913354,1.3354401936697355,0.009683441407031437,0.3073941005383691,0.009367569945912734,0.5838139814105948,25.4000244140625,1228,0.8199996948242188,46676,0.12900018692016602,137082,0.66,55.0,4.6000000000000005,0.024889241287664392,0.619999885559082
8,CRP_rev,0.015822396370886747,47.58662986755371,0.4616753708907633,120375289.0,cryptos,189,7,0.005264825291228515,0.8421718165603063,0.007760520986798638,1.499237277089546,0.009839773181993404,0.179500861930247,28.0999755859375,692,0.9299964904785156,34240,0.12700009346008345,62053,0.7714285714285715,54.31428571428571,4.428571428571429,0.038652501312345586,1.9600000381469709
9,CRP_rev,0.043702965205862976,57.809221506118774,0.7954317279370993,185429980.0,cryptos,186,9,0.0028592265660716794,1.6207125778423734,0.0200147115558157,0.3425357300044524,0.011615590363895631,0.11956472463990352,14.4000244140625,50,4.569999694824226,33053,0.21900010108947754,59279,0.79,54.199999999999996,4.3999999999999995,0.03502380879151137,0.9499998092651349
10,?,0.0477886385435813,138.0363411903382,0.44988263740087964,234989968.0,cryptos,169,10,0.008712248847773645,0.3684699166302355,0.007463038228735709,0.22504785015862722,0.019731378186751716,0.33957435754791737,33.5,25,0.8900032043457031,29509,0.1389999389648442,72745,0.79,54.199999999999996,4.3999999999999995,0.026292374385538917,1.0900001525878906
11,CRP_mom,0.04037656259921614,91.583744764328,0.5850910206505364,125834078.0,cryptos,164,5,0.0026544273085332497,1.8332626638308052,0.0035421198600912554,0.17024073485552418,0.014102444083643372,0.261783075841049,9.300048828125,69,0.3999977111816406,11997,0.0820000171661377,87884,0.79,54.199999999999996,4.3999999999999995,0.023456424006990773,0.6499996185302734
12,CRP_rev,0.11316557871060605,60.64745211601257,0.852576223149932,238881593.0,cryptos,171,6,0.0033651288331128138,4.265910843992639,0.00933293679326504,2.1024688965671348,0.014337635514973543,0.4759241689214457,10.300048828125,190659,1.6299972534179688,26770,0.09500002861022994,105449,0.8371428571428573,53.814285714285724,4.3999999999999995,0.028922493071566628,0.9600000381469744
13,CRP_rev,0.08792983551705508,32.94730281829834,0.3881540081910167,230627458.0,cryptos,175,8,0.004230767928336865,0.9266025939310144,0.005363529840267504,0.3211183825661918,0.013490968569885546,0.14971983451963602,9.5999755859375,738,1.8100013732910156,13376,0.09300017356872559,91102,0.9000000000000001,53.300000000000004,4.3999999999999995,0.05203097486867926,2.260000228881836
