,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean
0,BCRP,0.05446160515379798,1529.6985632267388,0.2860428765658942,6018066380.7,Crypto,0.09645017773507085,4.549545591527764,21.225090729106558
1,BestMarkowitz,0.03643440411676192,816.5543497505087,0.3131118400837297,5408495642.1,Crypto,0.06948623112285374,3.700000762939453,18.52218177101829
2,BestMarkowitz,0.05776393454325272,811.3673537049735,0.38448620325708327,9226175998.6,Crypto,0.10485951178544828,3.6904541795904002,16.35409072529186
