,algo,close_volatility,close_range,vol_volatility,vol_range,market,VIX_range,VIX_volatility,VIX_mean,nbr_of_cryptos_tweets,nbr_of_nasdaq_tweets
0,BestMarkowitz,0.08025456989077316,878.3487418507284,0.39852223841748485,2520371888.0,cryptos,0.06892766753920522,2.100000381469723,10.717641126192534,138,8
1,BestMarkowitz,0.17232853422914665,443.6498356126831,0.5696485965576825,3300381321.0,cryptos,0.07171468605185911,1.1541024721585789,9.961820536393386,226,7
2,BestMarkowitz,0.12841847283470675,424.9390382230049,0.46950950677111974,3145571579.0,cryptos,0.04231124124896959,1.4200000762939453,10.343641053713286,200,8
3,BestMarkowitz,0.14812102423057347,562.053432014538,0.4830876455487615,4191734083.5,cryptos,0.06964194652893925,1.3441030062161978,9.893641149080716,227,7
4,?,0.12919934057032048,531.1484969312442,0.4533391247145137,3040273037.5,cryptos,0.04810936313578304,2.400000572204588,10.840230795053335,179,10
5,BCRP,0.06403557357610842,291.10242345603183,0.2743963462414738,1334582564.0,cryptos,0.09789460507083543,3.345897527841421,11.20764108804556,128,6
